,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.66,0.36,0.37,0.3,0.29,0.25,0.23,0.22,0.23,0.24,0.13,0.21,0.17,0.22,0.12
e_1,0.44,0.94,0.37,0.5,0.34,0.21,0.32,0.29,0.25,0.44,0.23,0.28,0.26,0.22,0.22,0.14
d_1,0.48,0.43,0.95,0.39,0.38,0.22,0.31,0.44,0.2,0.15,0.25,0.24,0.23,0.17,0.19,0.2
c_1,0.46,0.36,0.47,0.94,0.59,0.26,0.31,0.14,0.21,0.22,0.18,0.21,0.24,0.16,0.23,0.16
b_1,0.49,0.43,0.49,0.41,0.94,0.47,0.32,0.28,0.22,0.28,0.17,0.25,0.25,0.2,0.19,0.17
a_1,0.47,0.57,0.57,0.52,0.34,0.94,0.35,0.34,0.34,0.33,0.31,0.29,0.31,0.14,0.26,0.2
h_1,0.89,0.58,0.74,0.58,0.51,0.4,0.76,0.39,0.47,0.42,0.4,0.34,0.25,0.24,0.45,0.25
c_0,0.93,0.68,0.6,0.62,0.49,0.42,0.54,0.66,0.52,0.53,0.71,0.44,0.42,0.38,0.33,0.31
g_1,0.74,0.68,0.99,0.71,0.63,0.37,0.44,0.41,0.74,0.38,0.38,0.49,0.32,0.32,0.22,0.3
d_0,0.83,0.55,0.62,1.22,0.57,0.42,0.51,0.33,0.44,0.65,0.44,0.39,0.41,0.35,0.45,0.32
b_0,0.96,0.72,0.78,0.89,0.34,0.39,0.46,0.39,0.44,0.5,0.66,0.42,0.45,0.64,0.41,0.3
f_0,0.72,0.59,0.84,0.83,0.67,0.47,0.59,0.47,0.41,0.47,0.4,0.65,0.4,0.38,0.31,0.61
h_0,1.21,0.76,0.81,0.79,0.6,0.44,0.41,0.48,0.65,0.47,0.43,0.41,0.36,0.32,0.45,0.24
a_0,0.96,0.71,1.05,0.84,0.69,0.32,0.63,0.48,0.42,0.54,0.37,0.44,0.53,0.61,0.43,0.39
g_0,0.79,0.77,1.18,0.85,0.71,0.4,0.5,0.57,0.46,0.47,0.45,0.67,0.45,0.29,0.32,0.38
e_0,1.12,0.61,0.87,0.96,0.7,0.52,0.57,0.61,0.39,0.5,0.43,0.38,0.55,0.32,0.45,0.6
