,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.07,3.8,3.28,3.09,2.96,2.99,1.21,1.76,0.85,1.18,0.96,0.91,0.6,0.96,0.73,0.53
e_1,3.14,1.07,2.16,3.28,3.51,2.97,1.55,1.17,1.41,1.08,1.2,1.09,0.87,0.83,2.96,0.89
f_1,3.4,4.16,1.07,3.3,3.24,4.12,0.87,1.07,1.47,0.86,1.62,0.89,0.51,0.79,0.69,0.69
c_1,4.33,3.11,3.49,1.07,3.63,3.16,1.2,0.64,1.32,2.56,0.89,0.93,0.96,0.9,0.87,1.05
b_1,4.41,4.28,5.05,2.59,1.07,3.68,1.67,1.02,1.34,1.52,1.0,2.37,0.96,1.19,1.11,0.99
a_1,4.47,5.0,4.63,5.7,2.99,1.07,2.5,1.52,1.99,1.78,1.63,1.78,1.57,3.16,1.72,1.21
h_1,7.13,7.24,8.63,8.73,6.29,5.46,1.38,2.38,3.82,2.05,2.17,2.18,3.94,1.79,1.81,1.8
d_0,19.48,5.2,9.33,10.99,9.38,6.54,3.28,1.66,2.65,2.28,2.15,2.34,1.99,1.8,1.88,2.25
g_1,10.17,7.96,7.69,9.18,9.37,6.7,2.44,3.55,1.38,2.69,2.49,2.57,1.86,3.66,2.57,2.23
c_0,5.41,9.45,9.4,16.76,8.36,6.0,3.86,3.58,3.22,1.58,2.96,3.57,2.67,2.39,2.7,2.39
f_0,8.83,9.69,20.73,10.29,10.33,7.78,3.89,2.94,2.78,2.71,1.66,2.65,2.56,2.05,2.56,1.34
b_0,9.94,8.45,10.17,13.58,18.7,7.92,3.74,3.43,2.92,1.61,2.66,1.62,2.39,3.3,2.57,1.77
h_0,12.49,10.89,15.86,10.02,12.41,8.61,5.75,3.64,4.22,2.86,2.79,2.88,4.12,2.97,2.65,2.41
a_0,11.06,11.93,14.33,14.13,13.74,,5.4,4.5,3.74,3.55,4.09,2.04,3.23,1.67,3.47,2.55
e_0,12.16,14.88,18.31,15.95,11.86,8.45,4.97,4.52,3.24,3.48,2.06,3.62,2.86,2.62,1.68,3.09
g_0,14.13,12.58,17.88,11.24,10.71,11.2,4.56,3.99,10.6,3.02,4.33,4.01,2.72,3.67,3.05,3.84
