,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.0,1.31,0.97,1.01,0.87,0.83,0.86,0.94,1.16,0.87,0.88,0.94,0.87,0.94,0.88,1.11
e_1,0.77,1.0,0.83,1.26,1.15,1.03,1.07,1.43,1.07,1.03,1.13,1.03,1.04,1.11,0.98,1.01
d_1,1.03,1.2,1.0,0.87,0.86,1.03,1.0,1.01,0.75,1.39,0.99,1.01,0.89,0.93,1.05,0.8
c_1,0.99,0.8,1.14,1.0,1.38,0.97,0.98,0.72,1.04,0.89,0.93,0.87,0.99,0.93,1.0,1.03
b_1,1.14,0.87,1.17,0.71,1.0,1.38,1.02,1.0,1.01,1.01,1.14,0.84,0.96,1.08,1.0,1.17
a_1,1.21,0.97,0.96,1.03,0.73,1.0,1.17,1.19,1.03,1.01,1.02,1.43,1.59,1.03,0.91,0.99
h_1,1.17,0.96,0.93,1.04,0.97,0.85,1.0,0.93,1.19,0.91,0.91,0.9,0.93,1.07,0.89,1.13
d_0,1.05,0.67,0.99,1.5,1.06,0.82,1.08,1.0,1.02,0.89,0.93,1.08,0.99,1.02,1.0,1.21
g_1,0.87,0.94,1.36,0.92,0.99,0.91,0.82,0.97,1.0,0.86,1.08,1.08,0.91,0.9,1.07,1.03
c_0,1.15,0.97,0.74,1.04,0.99,0.91,1.1,1.08,1.18,1.0,1.0,1.46,1.22,1.11,1.04,1.09
f_0,1.07,0.87,1.04,1.07,0.9,0.94,1.11,1.07,0.95,0.93,1.0,1.12,1.05,1.05,1.57,0.73
b_0,1.05,0.96,0.98,1.25,1.16,0.66,1.05,0.94,1.0,0.69,0.92,1.0,1.63,1.08,0.99,1.02
a_0,1.14,0.95,1.11,1.03,1.16,0.73,1.07,1.04,1.03,0.82,0.93,0.65,1.0,1.07,0.98,0.97
h_0,1.11,0.91,1.07,1.07,0.91,0.89,0.9,0.96,1.13,0.91,0.91,0.94,0.92,1.0,0.97,1.16
e_0,1.18,0.94,0.97,1.04,1.04,1.11,1.07,0.87,0.99,0.93,0.71,1.0,1.01,1.01,1.0,0.91
g_0,0.94,0.95,1.21,1.02,0.81,1.02,0.89,0.85,0.98,0.89,1.39,1.0,0.97,0.87,1.02,1.0
