,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.18,0.92,1.99,1.79,1.57,1.91,0.58,0.49,0.33,0.38,0.35,0.46,0.39,0.25,1.12,0.31
f_1,1.69,0.17,1.56,2.04,1.48,1.77,0.29,0.75,0.36,0.32,0.35,1.77,0.29,0.15,0.32,0.21
d_1,1.83,1.99,0.16,1.52,1.67,1.84,0.45,0.28,1.25,0.32,0.38,0.28,0.36,0.22,0.36,0.14
c_1,1.32,1.62,2.1,0.15,1.89,1.79,0.53,0.45,0.19,1.23,0.37,0.33,0.36,0.2,0.28,0.24
b_1,1.91,1.82,1.88,0.81,0.13,1.5,0.56,0.55,0.35,0.43,1.54,0.5,0.28,0.31,0.39,0.34
a_1,1.66,1.76,2.05,2.23,0.9,0.09,0.63,0.61,0.35,0.35,0.43,0.24,2.93,0.24,0.26,0.44
h_1,0.86,1.08,0.81,0.95,1.04,0.86,0.07,0.23,0.21,0.22,0.21,0.23,0.18,0.52,0.16,0.16
g_1,0.97,1.25,0.91,0.92,0.75,0.86,0.19,0.06,0.23,0.2,0.2,0.22,0.22,0.16,0.18,0.38
d_0,0.51,1.03,1.98,1.04,1.03,1.13,0.28,0.28,0.08,0.2,0.18,0.13,0.2,0.17,0.16,0.15
c_0,0.83,1.08,0.43,3.02,1.87,0.89,0.28,0.32,0.24,0.07,0.16,0.14,0.15,0.14,0.18,0.12
b_0,0.85,0.92,0.76,1.36,3.09,0.76,0.27,0.28,0.18,0.09,0.06,0.17,0.17,0.14,0.18,0.12
f_0,1.0,3.45,0.76,1.06,0.94,0.81,0.25,0.15,0.18,0.14,0.14,0.05,0.14,0.16,0.15,0.08
a_0,0.84,1.05,0.9,0.85,1.33,,0.29,0.25,0.18,0.16,0.09,0.15,0.06,0.13,0.21,0.13
h_0,0.86,1.06,0.9,1.21,0.82,0.72,0.83,0.24,0.18,0.16,0.17,0.16,0.16,0.49,0.18,0.12
e_0,2.59,1.37,0.69,0.83,0.91,0.8,0.22,0.3,0.2,0.15,0.18,0.07,0.15,0.11,0.04,0.11
g_0,1.26,0.93,0.68,0.99,0.89,0.86,0.22,0.63,0.2,0.18,0.22,0.2,0.15,0.1,0.18,0.32
