,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.88,0.08,0.06,0.09,0.08,0.05,0.08,0.14,0.06,0.08,0.06,0.06,0.08,0.06,0.06,0.01
f_1,0.19,0.88,0.08,0.08,0.06,0.03,0.06,0.08,0.04,0.07,0.06,0.01,0.08,0.04,0.06,0.02
d_1,0.09,0.09,0.88,0.06,0.07,0.05,0.08,0.02,0.05,0.14,0.08,0.07,0.08,0.04,0.07,0.04
c_1,0.08,0.08,0.08,0.88,0.13,0.05,0.07,0.09,0.06,0.02,0.05,0.06,0.08,0.04,0.06,0.05
b_1,0.08,0.07,0.1,0.08,0.87,0.1,0.08,0.07,0.05,0.07,0.02,0.07,0.07,0.03,0.06,0.05
a_1,0.08,0.08,0.09,0.09,0.09,0.87,0.07,0.09,0.05,0.09,0.07,0.08,0.07,0.01,0.04,0.05
h_1,0.13,0.21,0.15,0.13,0.11,0.08,0.53,0.16,0.14,0.1,0.09,0.1,0.06,0.09,0.18,0.08
d_0,0.15,0.16,0.04,0.3,0.13,0.09,0.11,0.37,0.08,0.11,0.13,0.11,0.15,0.07,0.1,0.08
g_1,0.11,0.15,0.24,0.13,0.11,0.05,0.12,0.14,0.53,0.12,0.12,0.19,0.11,0.09,0.05,0.1
c_0,0.15,0.2,0.15,0.08,0.12,0.1,0.15,0.17,0.11,0.36,0.24,0.12,0.15,0.09,0.11,0.07
b_0,0.18,0.18,0.13,0.18,0.05,0.05,0.15,0.16,0.11,0.12,0.39,0.14,0.17,0.21,0.11,0.07
f_0,0.15,0.06,0.19,0.19,0.13,0.07,0.15,0.15,0.13,0.13,0.12,0.37,0.15,0.09,0.16,0.16
h_0,0.17,0.22,0.14,0.18,0.12,0.06,0.05,0.14,0.13,0.11,0.13,0.1,0.04,0.09,0.11,0.09
a_0,0.15,0.18,0.17,0.15,0.09,,0.16,0.18,0.15,0.13,0.11,0.17,0.2,0.36,0.14,0.09
g_0,0.13,0.13,0.26,0.15,0.13,0.07,0.1,0.14,0.05,0.12,0.12,0.19,0.13,0.07,0.06,0.08
e_0,0.05,0.23,0.2,0.19,0.08,0.08,0.13,0.14,0.09,0.15,0.16,0.11,0.14,0.09,0.11,0.36
