,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.42,0.88,1.2,1.18,1.53,1.46,0.67,0.84,0.74,0.62,0.54,0.56,0.58,0.55,2.05,0.54
f_1,1.57,0.41,1.32,1.35,1.32,1.07,0.51,0.74,0.49,0.54,1.65,0.58,0.53,0.35,0.49,0.43
c_1,1.31,1.22,0.4,1.51,1.43,1.15,0.71,0.67,0.36,0.82,0.61,0.53,0.69,0.55,0.55,0.43
d_1,1.46,1.25,1.32,0.39,1.21,1.43,0.77,0.45,1.23,0.6,0.69,0.53,0.61,0.43,0.53,0.36
b_1,1.1,1.29,0.92,1.4,0.38,1.47,0.75,0.8,0.59,0.65,0.61,1.62,0.55,0.55,0.53,0.67
a_1,1.34,1.43,1.39,1.25,0.85,0.3,0.75,0.74,0.61,0.69,0.52,0.68,0.88,0.57,0.63,0.46
h_1,0.92,1.13,0.92,0.92,0.96,0.82,0.26,0.61,0.49,0.44,0.37,0.41,0.43,0.66,0.38,0.36
g_1,0.88,1.05,1.06,0.96,0.98,1.02,0.42,0.24,0.5,0.4,0.48,0.38,0.41,0.33,0.45,0.8
d_0,0.52,1.19,1.3,1.68,0.87,0.96,0.53,0.57,0.28,0.46,0.4,0.54,0.53,0.38,0.46,0.53
c_0,1.04,1.17,1.81,0.62,0.91,0.8,0.51,0.48,0.48,0.25,0.38,0.52,0.38,0.36,0.35,0.52
f_0,0.85,1.38,1.06,0.91,0.85,1.05,0.66,0.36,0.49,0.39,0.24,0.45,0.4,0.41,0.53,0.29
b_0,1.13,0.97,1.15,0.84,1.19,0.9,0.47,0.49,0.47,0.23,0.38,0.23,0.54,0.38,0.39,0.36
a_0,0.99,1.01,0.85,0.82,1.19,,0.5,0.59,0.49,0.37,0.33,0.28,0.22,0.3,0.52,0.36
h_0,0.8,1.07,0.89,1.02,0.98,0.87,0.92,0.56,0.45,0.4,0.4,0.48,0.42,0.6,0.41,0.41
e_0,1.04,1.29,0.99,0.94,0.92,0.77,0.48,0.48,0.49,0.41,0.24,0.49,0.34,0.41,0.2,0.3
g_0,0.88,1.04,0.99,0.96,0.75,1.28,0.47,0.77,0.38,0.38,0.45,0.42,0.39,0.3,0.53,0.57
