,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.45,35.96,37.91,30.47,27.69,29.27,5.53,10.31,8.47,5.94,,7.05,3.11,5.91,5.42,5.82
e_1,18.11,0.45,38.69,30.26,29.85,40.36,10.45,8.95,7.05,5.37,9.97,8.08,5.08,5.87,,4.28
d_1,31.1,34.4,0.44,35.16,33.28,47.84,10.0,6.74,,7.7,6.77,5.19,4.2,6.55,5.95,2.48
c_1,40.41,34.6,32.06,0.41,41.82,41.8,9.32,10.15,3.64,,7.21,7.73,5.79,6.39,6.31,5.6
b_1,44.24,37.01,42.55,21.57,0.39,38.84,11.09,9.8,6.76,8.99,6.95,,5.85,8.7,8.06,
a_1,41.32,72.76,66.24,53.95,24.84,0.32,13.6,8.18,6.89,10.77,12.04,12.48,7.01,,,5.89
h_1,17.69,21.26,17.01,18.6,17.77,13.31,0.37,4.87,3.76,3.71,3.17,3.85,,5.19,2.48,2.12
g_1,19.08,19.99,17.33,20.08,21.27,20.34,3.72,0.35,3.77,6.37,4.27,3.76,1.9,4.56,5.19,
d_0,16.73,7.63,,16.16,10.15,28.23,4.07,6.45,0.5,3.69,3.91,2.64,1.64,2.84,2.8,3.29
c_0,14.9,14.33,8.95,,21.49,18.68,4.76,5.36,3.35,0.48,2.51,4.11,2.23,3.92,3.44,1.7
f_0,,18.06,13.0,11.86,20.47,17.8,3.85,3.74,2.69,3.51,0.46,4.33,2.47,4.27,3.47,2.06
b_0,15.43,21.06,19.08,20.18,,18.58,5.4,4.58,3.7,1.54,4.43,0.43,2.51,,3.85,2.11
h_0,13.35,12.81,12.5,14.35,10.84,8.93,,4.14,2.98,3.65,1.97,2.4,,2.2,2.0,2.13
a_0,23.68,23.35,20.7,18.84,28.46,,7.57,3.9,3.71,2.82,5.12,,4.68,0.38,4.48,
e_0,26.14,,18.1,24.57,24.24,,4.39,4.9,5.65,3.57,1.88,6.2,3.65,3.81,0.38,
g_0,19.62,19.34,15.24,18.12,,12.92,3.84,,3.09,3.44,2.23,2.72,1.15,,,
