,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.03,0.8,0.6,0.93,0.78,0.57,0.98,1.52,0.9,0.89,1.04,1.0,1.05,1.24,0.68,0.89
f_1,1.28,2.04,0.76,0.67,0.6,0.64,0.87,0.89,0.82,0.98,0.95,0.61,0.83,0.86,0.74,0.82
d_1,0.69,0.96,2.35,0.58,0.6,0.73,1.0,0.67,0.91,1.76,1.28,0.89,1.06,1.07,1.07,0.98
c_1,0.65,0.65,0.71,2.39,1.4,0.73,0.84,0.92,0.86,0.42,0.75,0.92,0.97,0.86,0.94,0.91
b_1,0.58,0.67,0.78,0.82,2.47,1.48,0.94,0.83,0.97,0.89,0.56,1.11,0.94,0.75,0.96,1.09
a_1,0.81,0.8,0.84,0.79,0.63,3.29,1.03,0.95,1.09,0.85,0.92,1.12,1.09,0.58,1.13,1.1
h_1,0.83,1.16,0.94,0.77,0.8,0.69,2.05,0.92,1.35,1.03,1.01,1.07,0.69,0.97,1.03,1.31
d_0,0.74,0.82,0.62,1.55,0.96,0.69,0.98,1.59,0.9,0.63,0.98,1.04,1.15,1.01,1.06,1.1
g_1,0.7,0.76,1.35,0.68,0.75,0.75,1.01,0.75,2.65,1.1,0.95,1.56,1.03,1.04,1.37,0.8
c_0,0.82,1.0,1.03,0.69,0.56,0.72,1.28,1.17,1.07,1.76,2.0,1.11,1.15,1.41,1.22,1.34
b_0,0.88,0.96,0.92,0.83,0.55,0.63,1.19,1.02,1.22,1.16,2.03,0.98,1.21,2.19,1.27,1.29
f_0,0.72,0.58,0.86,0.89,0.95,0.95,1.2,1.11,1.19,1.06,1.13,2.18,1.21,1.03,2.43,1.14
h_0,0.87,1.1,0.89,0.86,0.87,0.81,0.69,0.97,1.31,0.93,0.92,0.92,0.74,0.83,1.01,1.36
a_0,0.92,0.89,0.9,0.87,0.79,0.51,1.2,1.16,0.96,0.98,1.26,1.19,1.29,2.29,1.18,1.08
e_0,0.67,1.02,0.97,0.85,0.92,0.69,1.06,0.98,1.11,1.12,1.02,1.13,1.28,0.95,2.25,1.35
g_0,0.78,0.83,1.34,0.83,0.75,0.76,0.96,0.85,0.71,1.09,1.1,1.5,1.0,1.16,1.11,0.83
