,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.33,0.82,0.96,0.97,0.73,0.67,0.62,0.62,0.77,0.72,0.63,0.52,0.48,0.49,0.58
e_1,0.75,1.0,1.01,0.98,0.92,1.02,0.71,0.66,0.9,0.75,0.67,0.75,0.63,0.62,0.6,0.63
d_1,1.22,0.99,1.0,0.88,0.89,0.82,0.8,0.89,0.63,0.51,0.67,0.68,0.64,0.61,0.65,0.51
c_1,1.05,1.02,1.14,1.0,1.43,0.77,0.65,0.6,0.49,0.63,0.55,0.66,0.63,0.56,0.6,0.44
b_1,1.04,1.09,1.13,0.7,1.0,1.35,0.82,0.69,0.74,0.8,0.75,0.58,0.5,0.69,0.51,0.67
a_1,1.36,0.98,1.22,1.3,0.74,1.0,0.92,0.8,0.82,0.72,0.75,0.65,0.59,0.7,0.77,0.68
h_1,1.58,1.38,1.26,1.51,1.22,1.12,1.0,0.99,0.93,1.28,0.95,0.91,0.85,0.96,0.78,0.84
c_0,1.66,1.57,1.1,1.68,1.41,1.25,1.04,1.0,1.05,1.04,1.38,0.84,1.05,0.86,0.83,0.84
d_0,1.65,1.06,1.71,2.18,1.35,1.24,1.01,0.92,1.0,1.07,1.02,1.06,0.75,0.82,1.0,0.88
g_1,1.26,1.27,2.02,1.61,1.32,1.33,0.79,0.92,0.95,1.0,0.94,1.14,0.91,0.86,0.81,0.85
b_0,1.36,1.47,1.44,1.85,1.52,1.32,1.0,0.74,1.02,1.14,1.0,1.03,1.36,0.91,0.81,0.85
f_0,1.51,1.4,1.5,1.53,1.81,1.49,1.12,1.16,0.97,0.83,0.95,1.0,0.91,0.98,1.31,0.75
a_0,2.02,1.52,1.64,1.55,1.89,1.77,1.18,0.98,1.4,1.01,0.75,1.04,1.0,1.13,1.04,1.09
h_0,2.15,1.56,1.57,1.93,1.43,1.39,1.01,1.11,1.24,1.15,1.14,1.02,0.88,1.0,0.9,1.16
e_0,2.18,1.74,1.49,1.6,1.74,1.38,1.35,1.23,1.03,1.24,1.24,0.74,1.07,1.08,1.0,1.02
g_0,1.78,1.71,1.87,2.36,1.42,1.52,1.22,1.08,1.1,1.2,1.15,1.25,0.93,0.85,0.94,1.0
