,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.96,0.61,0.53,0.71,0.53,0.4,0.42,0.58,0.36,0.34,0.33,0.35,0.35,0.24,0.24,0.29
f_1,0.93,0.96,0.54,0.59,0.55,0.36,0.34,0.4,0.33,0.34,0.35,0.24,0.31,0.19,0.25,0.26
d_1,0.71,0.72,0.96,0.52,0.5,0.36,0.44,0.36,0.34,0.57,0.41,0.36,0.38,0.31,0.28,0.26
c_1,0.6,0.67,0.65,0.95,0.88,0.43,0.42,0.32,0.36,0.3,0.28,0.34,0.35,0.24,0.22,0.27
b_1,0.71,0.67,0.64,0.54,0.95,0.73,0.42,0.42,0.38,0.39,0.34,0.38,0.41,0.25,0.22,0.28
a_1,0.78,0.86,0.78,0.7,0.53,0.94,0.51,0.45,0.42,0.49,0.44,0.41,0.42,0.32,0.27,0.37
h_1,1.02,1.17,0.92,0.88,0.82,0.52,0.8,0.6,0.65,0.55,0.5,0.44,0.47,0.37,0.33,0.47
d_0,0.87,1.02,0.82,1.44,0.94,0.62,0.63,0.75,0.51,0.45,0.49,0.56,0.53,0.41,0.36,0.47
g_1,1.01,1.02,1.26,0.85,0.81,0.6,0.54,0.58,0.79,0.63,0.55,0.7,0.54,0.44,0.41,0.44
c_0,1.17,1.17,0.94,0.87,0.76,0.56,0.73,0.68,0.56,0.75,0.84,0.55,0.56,0.46,0.53,0.41
b_0,1.27,1.15,1.04,1.1,0.68,0.52,0.73,0.74,0.61,0.58,0.74,0.57,0.62,0.47,0.75,0.45
f_0,1.03,1.18,1.1,0.99,0.94,0.69,0.8,0.68,0.59,0.67,0.62,0.72,0.61,0.72,0.36,0.47
h_0,1.19,1.45,1.14,1.02,0.91,0.64,0.64,0.69,0.71,0.65,0.61,0.62,0.54,0.47,0.47,0.63
e_0,1.19,1.55,1.07,1.17,1.02,0.65,0.85,0.73,0.63,0.71,0.63,0.59,0.67,0.7,0.47,0.52
a_0,1.31,1.36,1.18,1.12,1.0,0.46,0.86,0.8,0.74,0.7,0.57,0.71,0.66,0.55,0.68,0.52
g_0,1.27,1.17,1.52,1.16,1.13,0.69,0.77,0.62,0.59,0.77,0.65,0.85,0.58,0.51,0.45,0.48
