,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,0.91,1.18,0.99,0.91,0.78,0.62,0.63,0.62,0.68,0.62,0.56,0.56,0.55,0.54,0.47
d_1,1.1,1.0,1.02,0.86,0.88,0.84,0.72,0.57,0.8,0.68,0.66,0.64,0.57,0.64,0.54,0.55
e_1,0.85,0.97,1.0,1.16,0.95,0.86,0.72,0.78,0.67,0.85,0.62,0.71,0.66,0.56,0.61,0.56
c_1,1.0,1.17,0.86,1.0,1.35,0.92,0.72,0.69,0.59,0.48,0.48,0.58,0.57,0.52,0.61,0.6
b_1,1.1,1.08,1.06,0.78,1.0,1.28,0.79,0.7,0.71,0.63,0.69,0.68,0.63,0.54,0.58,0.61
a_1,1.28,1.19,1.17,1.06,0.8,1.0,0.88,0.84,0.75,0.72,0.91,0.68,0.71,0.69,0.67,0.62
h_1,1.65,1.35,1.4,1.4,1.29,1.11,1.0,0.98,0.9,0.88,0.79,0.8,0.8,0.75,0.9,0.73
g_1,1.57,1.73,1.27,1.44,1.37,1.16,1.0,1.0,0.99,0.83,0.95,1.06,0.85,0.8,0.82,0.92
c_0,1.66,1.28,1.49,1.77,1.3,1.31,1.11,1.01,1.0,1.14,1.31,1.02,0.93,1.05,0.84,0.96
d_0,1.42,1.49,1.18,2.15,1.66,1.39,1.12,1.18,0.8,1.0,0.9,0.96,0.92,0.86,0.89,0.99
b_0,1.6,1.52,1.57,2.01,1.41,1.12,1.25,1.02,0.78,1.07,1.0,0.97,0.99,1.35,0.95,0.94
f_0,1.7,1.61,1.43,1.71,1.41,1.46,1.24,0.92,0.98,1.06,0.95,1.0,0.95,0.87,0.82,1.31
h_0,1.82,1.76,1.55,1.77,1.62,1.41,1.27,1.2,1.07,1.08,1.08,1.05,1.0,0.91,1.14,0.94
a_0,1.82,1.64,1.72,1.9,1.81,1.51,1.25,1.21,0.93,1.16,0.8,1.13,1.06,1.0,0.97,1.14
g_0,1.83,1.87,1.67,1.61,1.81,1.51,1.13,1.21,1.15,1.15,1.03,1.23,0.84,1.05,1.0,1.04
e_0,2.06,1.83,1.84,1.7,1.61,1.57,1.3,1.11,1.06,1.03,1.12,0.78,1.06,0.96,0.95,1.0
