,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.03,0.76,0.69,0.89,0.7,0.75,0.98,0.84,1.68,0.84,1.0,1.07,1.07,1.06,0.66,1.02
f_1,1.26,2.05,0.71,0.73,0.69,0.49,0.8,0.83,0.94,0.86,1.01,0.62,0.97,0.92,0.74,0.96
d_1,0.68,0.91,2.28,0.57,0.63,0.73,1.09,1.07,0.63,1.68,1.19,0.96,1.01,1.09,0.98,1.03
c_1,0.65,0.67,0.75,2.33,1.43,0.72,0.8,0.86,0.9,0.54,0.66,0.84,0.91,0.91,1.03,0.84
b_1,0.73,0.7,0.76,0.74,2.45,1.4,0.95,0.91,0.84,0.93,0.49,0.9,1.01,0.79,1.02,0.99
a_1,0.68,0.83,0.87,0.83,0.69,3.42,1.07,1.04,0.82,1.05,1.1,1.23,0.96,0.55,1.05,0.94
h_1,0.8,1.15,0.83,0.87,0.68,0.72,2.06,1.29,0.87,0.95,1.04,1.02,0.81,0.88,1.19,1.51
g_1,0.71,0.75,1.39,0.78,0.64,0.91,1.01,2.44,0.67,1.13,1.21,1.62,0.93,1.0,1.14,0.72
d_0,0.72,0.83,0.61,1.59,0.94,0.73,0.98,0.81,1.64,0.76,0.99,1.13,1.08,1.0,1.22,1.02
c_0,0.9,0.93,0.88,0.76,0.54,0.82,1.21,1.11,1.09,1.71,2.21,1.31,1.12,1.36,1.22,1.14
b_0,0.87,0.99,0.83,0.9,0.55,0.55,1.05,1.09,1.1,1.04,2.09,1.2,1.27,2.44,1.17,1.15
f_0,0.72,0.59,0.92,1.0,0.81,0.83,1.08,1.18,0.99,0.94,1.26,2.11,1.09,0.96,2.42,1.13
h_0,0.79,1.16,0.88,0.8,0.73,0.81,0.73,1.38,0.93,0.95,0.99,1.05,0.9,1.06,1.15,1.26
a_0,0.82,0.94,0.98,1.02,0.73,0.51,1.23,1.05,0.97,1.13,0.93,0.89,1.03,2.47,1.09,0.94
e_0,0.6,0.81,1.05,0.88,0.91,0.66,1.28,1.5,0.94,0.98,1.1,1.1,1.17,1.17,2.53,1.3
g_0,0.84,0.83,1.31,0.73,0.83,0.73,0.99,0.79,0.78,1.05,1.06,1.58,1.05,1.15,1.28,0.8
