,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.17,0.26,0.27,0.19,0.22,0.14,0.37,0.88,0.41,0.53,0.28,0.42,0.62,0.41,0.09,0.45
f_1,0.46,2.18,0.23,0.19,0.19,0.15,0.36,0.4,0.42,0.32,0.28,0.09,0.5,0.44,0.32,0.44
c_1,0.25,0.22,2.34,0.24,0.4,0.17,0.44,0.42,0.07,0.24,0.25,0.35,0.49,0.28,0.48,0.55
d_1,0.23,0.24,0.12,2.45,0.2,0.19,0.44,0.15,0.84,0.62,0.39,0.48,0.61,0.36,0.41,0.58
b_1,0.19,0.26,0.26,0.23,2.56,0.33,0.4,0.57,0.42,0.11,0.22,0.42,0.48,0.32,0.34,0.47
a_1,0.17,0.27,0.24,0.22,0.18,3.08,0.45,0.59,0.62,0.47,0.33,0.44,0.78,0.09,0.46,0.39
h_1,0.38,0.62,0.43,0.4,0.26,0.29,2.82,0.59,0.71,0.67,0.76,0.76,0.21,0.42,0.72,0.91
d_0,0.48,0.4,0.84,0.12,0.27,0.2,0.7,2.25,0.7,0.85,0.6,0.62,0.96,0.66,0.62,1.03
c_0,0.43,0.56,0.16,0.48,0.33,0.26,0.8,0.83,2.36,1.27,0.6,0.86,1.05,0.69,0.64,0.78
b_0,0.59,0.46,0.41,0.32,0.11,0.22,0.8,1.0,1.04,2.59,0.59,0.65,0.94,1.36,0.51,1.01
g_1,0.33,0.44,0.39,0.56,0.28,0.25,0.86,0.72,0.9,0.84,3.53,1.06,0.85,0.78,0.63,0.41
f_0,0.34,0.24,0.45,0.49,0.29,0.35,0.77,1.04,0.92,0.95,0.87,2.88,1.36,0.69,1.38,1.13
h_0,0.38,0.53,0.46,0.41,0.22,0.33,0.34,0.75,0.95,0.72,0.75,0.75,0.47,0.66,0.63,1.15
a_0,0.4,0.38,0.45,0.42,0.31,0.1,0.84,1.07,0.8,0.92,0.9,0.94,0.91,2.89,0.76,0.99
e_0,0.16,0.55,0.37,0.52,0.39,0.31,0.81,0.62,0.98,0.83,0.85,0.91,1.37,0.69,2.86,0.92
g_0,0.28,0.35,0.45,0.66,0.39,0.23,0.64,0.8,1.0,0.62,,1.15,0.99,0.61,0.63,0.38
