,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.43,3.92,5.08,4.01,4.74,3.19,1.41,1.45,0.46,2.77,1.1,1.04,0.65,0.89,0.74,0.58
f_1,4.21,0.43,4.31,4.35,3.93,4.85,0.78,1.69,0.89,0.83,3.19,0.7,0.48,0.81,0.72,0.88
d_1,5.31,3.73,0.43,5.86,5.76,5.12,1.17,0.76,3.52,0.79,0.74,0.83,0.74,1.09,0.71,0.37
e_1,4.33,2.53,6.08,0.42,4.43,5.13,1.41,1.33,0.85,1.01,0.99,0.88,0.68,7.38,0.89,0.66
b_1,2.34,5.57,4.87,4.63,0.41,5.33,1.87,1.64,1.19,1.33,0.83,6.01,0.61,0.78,1.21,0.7
a_1,9.73,9.24,7.03,5.81,2.68,0.33,1.38,1.94,1.26,1.37,0.93,1.54,0.79,1.42,5.25,0.99
h_1,4.55,4.84,4.48,5.81,4.45,5.18,0.36,1.33,1.46,1.0,1.07,1.18,2.46,0.67,0.91,0.87
g_1,6.04,5.23,4.8,5.67,6.56,4.98,1.34,0.33,1.13,1.0,1.26,0.94,0.52,1.24,1.39,1.82
d_0,5.98,7.8,14.06,2.54,5.48,5.08,1.97,1.72,0.46,1.19,1.54,0.93,0.81,1.37,1.33,0.9
c_0,21.38,6.51,2.72,6.2,6.53,5.67,1.6,1.54,1.48,0.42,1.07,1.04,0.99,1.44,1.59,0.89
f_0,5.72,23.57,5.43,5.87,5.88,6.49,1.61,1.01,1.47,1.08,0.4,1.29,0.99,1.26,1.78,0.67
b_0,8.17,5.46,4.54,5.74,20.34,8.02,1.66,1.84,1.2,0.62,0.98,0.4,0.89,1.14,2.27,0.83
h_0,7.06,7.51,7.19,5.7,7.89,7.34,6.05,2.31,1.67,1.45,1.81,1.29,2.18,1.34,1.57,1.06
e_0,7.05,14.5,5.23,,7.3,4.9,2.32,1.44,1.64,1.16,0.72,1.24,1.33,0.32,1.49,1.18
a_0,8.62,6.92,6.64,7.71,7.65,,2.07,1.82,1.62,1.2,1.51,0.76,0.92,1.3,0.36,1.05
g_0,8.37,9.26,7.0,5.92,9.33,6.9,1.77,4.34,1.74,1.19,1.54,1.4,0.87,1.52,1.23,2.45
