,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.24,0.03,0.02,0.03,0.03,0.02,0.05,0.05,0.13,,0.07,0.05,0.08,0.09,0.03,0.03
e_1,0.02,2.24,0.03,0.03,0.03,0.03,0.05,0.05,0.06,0.11,0.06,0.05,0.08,0.07,0.04,
f_1,0.03,0.05,2.29,0.04,0.02,0.02,0.07,0.02,0.06,0.07,0.05,,0.09,0.05,0.04,0.05
c_1,0.02,0.03,0.03,2.37,0.04,0.02,0.07,0.05,,0.07,0.03,0.04,0.11,0.07,0.06,0.07
b_1,0.03,0.04,0.04,0.02,2.53,0.04,0.06,0.04,0.05,0.07,,0.05,0.08,0.07,,0.04
a_1,0.03,0.04,0.03,0.03,0.03,3.06,0.04,0.04,0.07,0.05,0.05,0.06,0.09,0.07,,
h_1,0.1,0.07,0.12,0.09,0.13,0.06,2.69,0.34,0.34,0.2,0.2,0.18,,0.39,0.17,0.15
g_1,0.2,0.08,0.11,0.09,0.11,0.12,0.18,2.98,0.18,0.2,0.31,0.31,0.18,,,
c_0,0.14,0.16,0.13,,0.1,0.07,0.34,0.22,1.96,0.27,0.63,0.24,0.42,0.37,0.27,0.29
d_0,,0.14,0.17,0.25,0.12,0.1,0.33,0.18,0.23,2.07,0.28,0.3,0.42,0.36,0.26,0.2
b_0,0.14,0.12,0.13,0.18,,0.07,0.18,0.27,0.29,0.44,2.24,0.29,0.36,0.34,0.5,
f_0,0.17,0.17,,0.11,0.11,0.11,0.25,0.2,0.41,0.31,0.29,2.31,0.46,0.29,0.29,0.37
h_0,0.2,0.19,0.31,0.19,0.23,0.14,,0.62,0.48,0.48,0.48,0.3,,0.69,,0.48
g_0,0.32,0.21,0.24,0.17,0.16,0.19,0.45,,0.52,0.4,0.32,0.81,0.47,,,0.37
a_0,0.18,0.14,0.14,0.18,,,0.33,,0.25,0.2,0.23,0.33,,,2.79,
e_0,0.22,,0.12,0.1,0.15,,0.34,,0.28,0.35,,0.32,0.43,0.26,,2.91
