,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.9,0.24,0.33,0.4,0.26,0.15,0.33,0.52,0.22,0.27,0.28,0.25,0.27,0.21,0.15,0.23
d_1,0.31,0.92,0.35,0.24,0.25,0.15,0.29,0.21,0.24,0.5,0.32,0.28,0.29,0.18,0.18,0.29
f_1,0.54,0.3,0.9,0.28,0.25,0.17,0.26,0.3,0.21,0.24,0.25,0.13,0.28,0.19,0.12,0.2
c_1,0.3,0.29,0.32,0.9,0.49,0.19,0.3,0.3,0.22,0.14,0.17,0.22,0.24,0.18,0.16,0.23
b_1,0.31,0.34,0.32,0.28,0.89,0.39,0.27,0.25,0.23,0.26,0.13,0.21,0.25,0.12,0.15,0.21
a_1,0.35,0.36,0.38,0.32,0.21,0.89,0.3,0.28,0.27,0.28,0.23,0.23,0.29,0.12,0.17,0.23
h_1,0.34,0.39,0.51,0.31,0.26,0.16,0.62,0.27,0.33,0.28,0.29,0.23,0.21,0.22,0.17,0.3
d_0,0.37,0.24,0.35,0.61,0.29,0.19,0.35,0.51,0.25,0.2,0.3,0.21,0.29,0.22,0.16,0.24
g_1,0.32,0.52,0.3,0.32,0.27,0.19,0.3,0.27,0.63,0.31,0.26,0.46,0.25,0.2,0.21,0.21
c_0,0.35,0.41,0.43,0.25,0.21,0.2,0.33,0.36,0.27,0.53,0.54,0.28,0.37,0.25,0.21,0.26
b_0,0.39,0.36,0.39,0.38,0.18,0.14,0.37,0.35,0.29,0.3,0.49,0.3,0.32,0.42,0.21,0.26
f_0,0.32,0.42,0.26,0.35,0.29,0.21,0.34,0.37,0.3,0.34,0.3,0.51,0.28,0.25,0.42,0.29
h_0,0.35,0.42,0.41,0.38,0.24,0.2,0.23,0.31,0.34,0.31,0.26,0.26,0.24,0.2,0.18,0.36
a_0,0.41,0.42,0.35,0.39,0.3,0.11,0.32,0.36,0.32,0.28,0.27,0.25,0.35,0.4,0.19,0.23
e_0,0.29,0.45,0.38,0.33,0.27,0.17,0.37,0.43,0.28,0.33,0.34,0.27,0.39,0.24,0.43,0.32
g_0,0.31,0.57,0.33,0.32,0.26,0.16,0.32,0.3,0.19,0.37,0.3,0.36,0.3,0.21,0.19,0.2
