,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.16,0.79,0.64,0.68,0.66,0.61,0.17,0.25,0.12,0.13,0.13,0.12,0.08,0.12,0.11,0.06
e_1,0.69,0.16,0.37,0.67,0.74,0.64,0.23,0.15,0.23,0.16,0.17,0.14,0.11,0.14,0.36,0.12
f_1,0.57,0.6,0.16,0.64,0.73,0.77,0.12,0.14,0.21,0.11,0.22,0.11,0.06,0.12,0.11,0.09
c_1,0.81,0.51,0.68,0.15,0.62,0.69,0.17,0.07,0.2,0.25,0.12,0.12,0.1,0.14,0.12,0.12
b_1,0.67,0.68,0.89,0.36,0.13,0.58,0.21,0.12,0.19,0.19,0.12,0.42,0.11,0.16,0.14,0.1
a_1,0.66,0.59,0.67,0.87,0.34,0.1,0.26,0.14,0.22,0.15,0.15,0.2,0.13,0.34,0.16,0.11
h_1,0.49,0.5,0.59,0.53,0.48,0.45,0.06,0.11,0.2,0.1,0.12,0.11,0.13,0.1,0.09,0.08
d_0,0.87,0.3,0.54,0.52,0.65,0.5,0.16,0.07,0.16,0.11,0.1,0.12,0.08,0.1,0.1,0.09
g_1,0.55,0.53,0.56,0.61,0.6,0.4,0.11,0.12,0.05,0.11,0.1,0.11,0.07,0.12,0.11,0.1
c_0,0.28,0.63,0.54,1.06,0.57,0.44,0.18,0.18,0.17,0.06,0.12,0.14,0.09,0.11,0.11,0.08
f_0,0.45,0.57,0.97,0.52,0.57,0.44,0.17,0.11,0.1,0.11,0.05,0.11,0.08,0.08,0.09,0.05
b_0,0.42,0.48,0.56,0.72,0.78,0.49,0.15,0.13,0.14,0.05,0.1,0.05,0.07,0.11,0.1,0.07
h_0,0.49,0.45,0.6,0.47,0.57,0.44,0.22,0.11,0.13,0.1,0.1,0.09,0.1,0.09,0.09,0.07
a_0,0.42,0.57,0.51,0.53,0.65,1.06,0.14,0.15,0.11,0.1,0.11,0.05,0.09,0.04,0.08,0.08
e_0,0.45,1.02,0.84,0.55,0.48,0.37,0.15,0.13,0.11,0.1,0.05,0.11,0.07,0.09,0.04,0.07
g_0,0.47,0.57,0.66,0.47,0.42,0.49,0.12,0.12,0.25,0.1,0.11,0.12,0.06,0.1,0.1,0.1
