,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.51,1.1,0.7,0.68,0.54,0.45,0.69,0.73,0.77,0.73,0.43,0.71,0.54,0.84,0.54,0.82
e_1,0.62,1.51,0.56,0.83,0.75,0.59,0.84,1.36,0.73,0.82,0.85,0.81,0.74,0.9,0.41,0.73
d_1,0.74,0.86,1.55,0.54,0.52,0.6,0.8,0.55,0.62,1.34,0.81,0.86,0.65,0.78,0.79,0.7
c_1,0.72,0.57,0.7,1.56,1.06,0.52,0.8,0.74,0.68,0.43,0.76,0.65,0.7,0.81,0.75,0.88
b_1,0.85,0.58,0.81,0.57,1.6,0.92,0.8,0.8,0.73,0.73,0.92,0.42,0.68,0.85,0.74,0.8
a_1,0.92,0.73,0.72,0.78,0.61,1.76,0.97,1.0,0.75,0.85,0.84,1.05,0.73,0.82,0.7,0.76
h_1,1.16,0.85,0.95,0.91,0.81,0.64,1.72,0.95,1.23,1.04,0.92,0.89,0.86,0.9,0.74,1.26
d_0,1.01,0.74,0.65,1.65,0.88,0.53,1.18,1.57,0.95,0.9,0.97,1.11,0.95,1.18,0.93,1.26
g_1,0.77,0.92,1.42,0.78,0.84,0.76,0.97,1.0,1.82,0.9,1.26,1.14,0.93,1.1,0.96,0.87
c_0,1.18,0.92,0.82,0.71,0.8,0.74,1.24,1.13,1.18,1.61,1.19,1.83,1.31,1.24,1.05,1.17
f_0,0.83,0.85,1.06,1.11,0.84,0.75,1.23,1.21,1.02,1.12,1.66,1.24,1.12,1.28,1.84,0.93
b_0,1.14,0.93,1.04,1.07,0.81,0.44,1.24,1.06,0.98,0.97,1.15,1.69,1.97,1.28,0.95,1.1
a_0,1.13,1.0,1.2,1.0,1.04,0.34,1.32,1.12,1.12,1.07,1.22,0.87,1.67,1.3,1.04,1.16
h_0,1.26,0.99,1.17,1.13,0.86,0.73,0.81,1.15,1.19,1.11,1.02,1.08,0.96,0.83,1.02,1.44
e_0,1.05,0.76,1.04,1.12,1.05,0.97,1.25,1.06,1.07,1.1,0.94,1.12,1.13,1.27,1.73,1.08
g_0,0.89,1.02,1.46,1.03,0.77,0.84,1.19,1.07,0.8,1.06,1.86,1.08,1.03,1.12,1.14,0.86
