,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.13,3.03,6.31,5.86,5.81,5.25,1.91,1.98,1.16,1.15,1.25,1.24,1.25,0.77,2.78,1.08
f_1,4.5,1.13,4.92,7.15,4.73,6.05,1.18,1.86,0.98,0.93,0.95,2.48,1.09,0.53,1.17,0.91
d_1,6.85,6.27,1.12,5.28,5.39,4.87,1.49,1.04,1.01,3.4,1.07,1.05,1.11,0.78,0.92,0.53
c_1,4.57,5.86,7.22,1.12,6.67,4.82,1.41,1.26,2.27,0.64,1.16,1.12,0.92,0.86,1.29,0.74
b_1,7.61,7.69,5.73,3.11,1.14,6.73,1.96,1.96,1.59,1.51,4.08,1.25,1.56,1.08,1.03,0.98
a_1,10.82,9.37,9.49,9.68,5.05,1.15,3.0,4.12,2.41,2.11,2.71,2.03,4.88,1.69,1.58,1.45
h_1,14.76,17.15,14.17,16.78,17.96,14.34,1.76,4.28,3.34,3.4,3.61,3.15,3.29,4.09,3.27,2.73
g_1,19.73,25.92,20.73,27.74,25.5,21.05,4.75,1.79,4.35,5.3,4.9,5.06,5.0,2.29,4.49,4.3
c_0,26.56,22.24,11.91,62.94,22.82,29.1,7.21,7.51,2.38,7.59,3.92,4.83,5.55,3.02,3.8,3.02
d_0,12.6,22.1,54.16,24.98,26.39,24.13,8.25,8.79,5.96,2.44,6.06,5.3,4.6,3.2,4.43,4.05
b_0,24.15,26.93,20.11,44.84,38.42,18.67,6.45,7.68,2.51,6.21,2.24,4.75,5.4,3.92,4.27,3.55
f_0,29.51,53.86,26.44,25.98,29.18,27.11,9.16,4.18,4.92,5.49,5.25,2.32,5.7,4.74,5.0,2.34
a_0,32.27,30.78,35.72,43.64,43.36,61.84,10.65,10.6,5.91,9.92,3.4,9.49,2.48,4.99,6.6,6.88
h_0,34.88,38.73,37.31,40.41,37.94,34.12,19.49,11.32,7.0,8.91,6.13,7.41,7.11,10.38,6.25,5.06
e_0,75.07,58.42,38.6,39.91,35.29,43.02,13.47,10.95,8.26,10.08,8.78,4.04,9.0,6.19,2.73,4.05
g_0,45.43,48.55,39.98,43.07,41.01,38.06,9.07,19.65,7.95,10.08,8.52,7.96,7.23,4.63,6.86,8.19
