,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.0,0.79,0.68,0.98,0.73,0.7,0.91,0.9,1.61,0.89,0.98,0.92,1.11,1.05,0.63,0.81
f_1,1.2,2.09,0.76,0.74,0.64,0.63,0.89,0.75,0.9,0.89,0.99,0.57,0.89,0.86,0.74,0.83
d_1,0.67,0.78,2.29,0.6,0.69,0.72,1.01,1.06,0.65,1.77,1.24,1.05,0.98,0.98,1.08,1.16
c_1,0.71,0.75,0.74,2.29,1.33,0.68,0.95,0.88,0.81,0.48,0.65,0.93,0.92,0.89,0.94,0.84
b_1,0.7,0.77,0.78,0.71,2.52,1.38,0.91,0.92,0.86,0.74,0.59,1.02,0.64,1.06,0.88,1.05
a_1,0.8,0.79,0.73,0.74,0.7,3.61,1.02,1.03,0.82,0.97,1.0,0.97,0.8,1.04,1.21,1.14
h_1,0.79,1.11,0.93,0.85,0.72,0.58,2.05,1.42,0.95,1.01,0.97,1.09,1.05,0.69,1.14,1.45
g_1,0.71,0.64,1.3,0.9,0.73,0.67,1.02,2.39,1.04,1.0,1.02,1.6,0.99,1.2,1.19,0.77
d_0,0.82,0.78,0.63,1.46,0.83,0.77,1.06,1.05,1.57,0.78,0.94,1.05,0.99,1.1,1.16,0.97
c_0,0.91,0.86,0.92,0.67,0.73,0.72,1.04,1.07,1.09,1.8,2.2,1.38,1.51,1.3,1.17,1.23
b_0,0.86,0.88,0.83,0.97,0.6,0.63,1.07,1.08,1.16,1.04,2.02,1.21,2.21,1.19,1.2,1.11
f_0,0.64,0.67,0.94,0.88,0.75,1.01,1.01,1.16,1.31,1.27,1.11,2.28,1.41,1.29,2.55,1.34
a_0,0.87,0.99,0.92,0.79,0.84,0.6,1.15,1.02,1.03,1.09,1.17,1.22,1.96,1.19,1.32,1.11
h_0,0.78,1.18,0.95,0.87,0.72,0.76,0.74,1.11,0.95,1.0,1.11,0.92,0.92,0.8,1.28,1.36
e_0,0.65,0.97,0.89,0.86,0.81,0.82,1.24,1.13,0.9,1.02,1.07,1.13,1.06,1.17,2.39,1.31
g_0,0.64,0.86,1.42,0.78,0.72,0.68,0.98,0.94,0.82,1.27,1.06,1.72,1.0,1.04,1.25,0.95
