,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.92,0.91,1.11,1.45,0.63,1.27,1.14,0.72,,1.22,0.92,1.2,0.97,0.73,0.87
f_1,1.09,1.0,1.34,1.23,0.88,0.92,0.83,1.26,0.92,0.96,,0.99,0.88,0.77,0.85,1.07
d_1,1.1,0.75,1.0,0.94,1.14,1.0,1.03,0.85,,1.33,0.94,1.13,1.15,1.03,0.97,0.79
e_1,0.9,0.81,1.06,1.0,1.02,0.97,1.0,0.91,1.33,0.89,1.07,0.96,1.21,,,1.03
b_1,0.69,1.14,0.88,0.98,1.0,1.36,1.28,1.09,1.29,1.06,0.9,,0.83,1.02,1.26,0.86
a_1,1.58,1.09,1.0,1.03,0.74,1.0,0.78,0.94,0.96,1.1,0.89,1.04,1.02,,,1.04
h_1,0.79,1.21,0.97,1.0,0.78,1.28,1.0,1.26,1.06,1.03,1.0,1.02,,0.58,0.78,1.35
g_1,0.88,0.79,1.18,1.1,0.92,1.06,0.79,1.0,1.0,1.08,1.34,1.0,0.81,1.33,0.94,
d_0,1.4,1.09,,0.75,0.77,1.04,0.94,1.0,1.0,1.1,1.19,0.84,0.86,,1.03,1.0
c_0,,1.04,0.75,1.12,0.94,0.91,0.97,0.93,0.91,1.0,0.94,1.38,1.04,,1.08,1.06
f_0,0.82,,1.06,0.93,1.11,1.12,1.0,0.75,0.84,1.07,1.0,1.39,0.85,1.22,,0.9
b_0,1.08,1.02,0.89,1.04,,0.96,0.98,1.0,1.19,0.73,0.72,1.0,1.27,0.88,,1.15
h_0,0.83,1.14,0.87,0.83,1.21,0.98,,1.23,1.17,0.97,1.17,0.78,,0.95,1.21,0.98
e_0,1.03,1.29,0.97,,0.98,,1.73,0.75,,,0.82,1.14,1.05,1.0,,1.07
a_0,1.37,1.18,1.03,,0.79,,1.27,1.07,0.97,0.92,,,0.82,,1.0,1.11
g_0,1.15,0.93,1.27,0.97,1.16,0.97,0.74,,1.0,0.95,1.11,0.87,1.02,0.93,0.9,
