,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.31,0.63,0.86,1.09,0.78,0.54,1.73,3.0,1.27,1.61,1.81,1.64,2.08,1.67,1.2,1.91
d_1,0.8,2.4,0.92,0.65,0.75,0.55,1.53,1.2,1.42,3.02,2.07,1.85,2.24,1.45,1.51,2.37
f_1,1.37,0.78,2.39,0.78,0.74,0.6,1.36,1.72,1.23,1.44,1.63,0.89,2.13,1.54,0.96,1.66
c_1,0.77,0.77,0.85,2.47,1.44,0.66,1.55,1.75,1.3,0.83,1.1,1.5,1.86,1.38,1.28,1.86
b_1,0.79,0.88,0.86,0.78,2.62,1.39,1.41,1.47,1.34,1.57,0.84,1.44,1.94,0.91,1.23,1.73
a_1,0.89,0.93,0.99,0.88,0.61,3.14,1.6,1.65,1.55,1.71,1.52,1.55,2.22,0.95,1.36,1.91
h_1,0.87,1.02,1.34,0.86,0.78,0.58,3.25,1.58,1.9,1.68,1.87,1.51,1.59,1.74,1.37,2.48
d_0,0.94,0.64,0.93,1.68,0.86,0.69,1.82,2.95,1.45,1.21,1.94,1.42,2.23,1.76,1.35,1.96
g_1,0.82,1.37,0.78,0.88,0.81,0.66,1.58,1.56,3.65,1.89,1.69,3.05,1.9,1.57,1.69,1.78
c_0,0.89,1.09,1.14,0.68,0.62,0.71,1.71,2.1,1.57,3.2,3.54,1.87,2.81,1.96,1.68,2.14
b_0,1.0,0.95,1.04,1.04,0.54,0.48,1.92,2.06,1.69,1.83,3.23,1.98,2.47,3.33,1.69,2.12
f_0,0.82,1.11,0.69,0.96,0.84,0.75,1.78,2.15,1.77,2.07,1.95,3.44,2.14,1.97,3.42,2.4
h_0,0.9,1.1,1.1,1.04,0.71,0.71,1.19,1.82,1.96,1.83,1.72,1.72,1.82,1.56,1.44,3.01
a_0,1.04,1.1,0.94,1.07,0.89,0.38,1.68,2.06,1.84,1.67,1.75,1.7,2.67,3.18,1.6,1.93
e_0,0.74,1.19,1.0,0.9,0.81,0.61,1.93,2.52,1.63,1.97,2.22,1.82,3.0,1.92,3.54,2.66
g_0,0.79,1.49,0.88,0.88,0.75,0.56,1.7,1.75,1.13,2.22,1.96,2.42,2.27,1.66,1.59,1.63
