,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.43,2.04,1.72,1.92,1.65,1.47,0.41,0.28,0.31,0.7,0.33,0.28,0.24,0.17,0.31,0.27
e_1,1.72,0.43,0.94,2.04,1.75,1.55,0.71,0.65,0.36,0.41,0.4,0.37,0.27,0.27,0.4,0.79
f_1,1.67,1.67,0.43,1.7,1.6,1.7,0.37,0.5,0.32,0.32,0.34,0.65,0.17,0.26,0.32,0.35
c_1,2.36,1.47,1.76,0.41,1.79,1.75,0.59,0.61,0.76,0.2,0.34,0.32,0.25,0.3,0.3,0.38
b_1,1.89,1.92,2.42,1.01,0.39,1.97,0.51,0.55,0.58,0.48,0.87,0.48,0.31,0.33,0.39,0.35
a_1,2.54,2.17,2.54,2.71,1.14,0.32,0.8,0.7,0.52,0.57,0.74,0.6,0.46,0.33,2.03,0.53
h_1,2.62,2.58,2.77,2.89,3.26,2.79,0.32,0.9,0.58,0.55,0.57,0.59,0.65,0.45,0.62,0.54
g_1,3.01,3.25,3.42,3.11,3.34,2.99,0.63,0.3,0.65,0.75,0.65,0.61,0.33,0.71,0.63,0.6
c_0,1.68,2.87,3.8,7.52,3.8,2.94,0.84,1.08,0.36,0.93,0.66,0.61,0.54,0.43,0.73,0.66
d_0,4.55,1.74,3.33,3.35,3.54,3.28,0.96,1.55,0.68,0.37,0.62,0.63,0.47,0.48,0.79,0.73
b_0,2.47,2.87,3.17,6.37,5.51,3.25,0.97,1.04,0.35,0.77,0.35,0.65,0.45,0.46,0.84,0.61
f_0,3.05,3.24,5.13,4.54,3.9,3.16,1.01,0.8,0.81,0.84,0.84,0.34,0.63,0.31,0.74,0.71
h_0,3.34,4.08,4.28,3.41,3.92,3.34,1.72,1.24,0.71,0.79,0.76,0.72,0.89,0.59,0.65,0.72
g_0,3.48,4.27,5.09,4.32,4.25,4.82,0.86,1.97,0.83,0.86,0.83,0.88,0.42,0.92,0.84,0.86
a_0,3.97,4.25,4.63,4.12,6.86,6.18,1.16,1.01,0.71,0.92,0.4,0.8,0.77,0.55,0.3,0.84
e_0,4.55,6.05,5.29,3.49,4.31,4.27,1.09,0.99,0.88,0.9,0.9,0.47,0.58,0.56,0.97,0.31
