,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.91,0.99,0.9,0.69,0.44,0.38,0.47,0.45,0.37,0.35,0.32,0.3,0.29,0.33
e_1,0.82,1.0,0.95,1.15,0.93,0.74,0.5,0.43,0.46,0.55,0.41,0.44,0.37,0.37,0.35,0.34
d_1,1.15,1.05,1.0,0.82,0.86,0.81,0.5,0.56,0.38,0.44,0.47,0.39,0.37,0.37,0.35,0.28
c_1,1.03,0.88,1.2,1.0,1.37,0.76,0.52,0.39,0.49,0.32,0.35,0.39,0.38,0.34,0.34,0.35
b_1,1.12,1.03,1.16,0.73,1.0,1.27,0.61,0.52,0.46,0.45,0.42,0.4,0.41,0.31,0.33,0.38
a_1,1.48,1.32,1.23,1.27,0.82,1.0,0.75,0.61,0.62,0.68,0.65,0.53,0.53,0.49,0.42,0.45
h_1,2.29,1.94,2.05,1.95,1.68,1.32,1.0,0.86,0.97,0.8,0.8,0.71,0.75,0.7,0.63,0.73
c_0,2.65,2.38,1.83,2.48,1.98,1.53,1.14,1.0,1.04,1.16,1.21,0.86,0.87,0.95,0.76,0.7
g_1,2.14,2.11,2.64,2.11,2.08,1.69,1.0,0.98,1.0,0.91,0.89,1.03,0.75,0.76,0.69,0.7
d_0,2.13,1.79,2.29,3.1,2.3,1.47,1.3,0.91,1.13,1.0,0.93,0.85,0.9,0.82,0.76,0.8
b_0,2.7,2.52,2.16,2.76,2.35,1.55,1.28,0.85,1.12,1.06,1.0,0.91,0.97,1.12,0.81,0.74
f_0,2.72,2.35,2.48,2.43,2.56,1.84,1.4,1.21,0.96,1.17,1.09,1.0,1.02,1.07,1.12,0.68
h_0,3.07,2.76,2.75,2.62,2.5,1.85,1.37,1.18,1.37,1.13,1.04,0.98,1.0,0.85,0.89,0.97
a_0,3.35,2.73,2.63,2.97,3.08,2.15,1.42,1.16,1.33,1.23,0.97,0.98,1.13,1.0,1.0,0.88
e_0,3.55,2.93,3.02,2.88,2.81,2.26,1.59,1.31,1.46,1.27,1.29,0.9,1.13,0.96,1.0,0.89
g_0,3.01,2.77,3.51,2.9,2.7,2.21,1.43,1.38,1.41,1.27,1.36,1.49,1.04,1.12,1.13,1.0
