,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.11,2.38,4.13,4.53,5.19,4.06,1.35,0.89,0.9,1.52,0.87,1.19,0.69,0.87,2.54,0.72
f_1,3.92,1.12,4.22,5.05,4.25,3.46,0.86,0.89,0.81,1.59,0.91,1.74,0.47,0.71,0.91,0.85
d_1,6.42,5.24,1.11,5.25,4.92,4.37,1.18,1.9,0.82,0.75,0.89,0.84,0.71,0.9,0.78,0.42
c_1,4.22,5.14,7.8,1.12,4.72,5.06,1.69,0.59,2.48,1.56,1.13,0.94,0.72,0.97,1.08,0.77
b_1,5.84,7.76,6.06,2.94,1.13,7.03,1.91,1.3,1.76,2.24,3.01,1.45,0.92,1.75,1.06,0.82
a_1,8.44,8.83,7.97,8.59,4.0,1.14,2.88,1.86,1.47,2.25,1.67,1.53,1.19,5.2,1.53,1.47
h_1,16.81,13.39,13.93,17.38,15.68,13.64,1.71,3.56,2.73,4.23,3.05,3.01,2.87,2.41,2.28,2.24
d_0,10.36,17.15,38.52,16.44,20.08,15.64,6.01,2.3,4.51,6.21,3.72,4.04,2.67,4.01,4.13,3.65
c_0,21.18,19.58,9.72,46.08,18.93,20.74,5.17,5.54,2.19,5.4,3.61,3.46,2.49,3.97,3.48,2.46
g_1,18.61,21.96,17.99,23.57,16.67,26.75,4.0,4.22,3.7,1.72,4.01,3.24,1.94,3.48,3.2,3.69
b_0,18.17,21.06,18.29,25.34,30.81,20.74,5.54,4.6,2.41,6.21,2.22,3.96,2.94,4.15,3.48,2.97
f_0,21.53,42.38,20.59,23.21,21.37,23.1,5.81,4.48,4.6,3.71,3.72,2.13,3.21,3.24,3.51,1.84
h_0,26.8,35.66,28.22,32.7,29.44,28.63,12.29,5.92,6.49,9.22,5.77,5.04,7.16,5.43,5.63,4.18
a_0,29.04,36.02,31.48,41.09,46.49,65.58,8.23,7.57,6.14,13.28,3.45,7.09,5.3,2.53,5.92,3.54
e_0,53.24,59.05,33.75,33.79,27.6,29.46,12.47,7.82,7.32,7.38,7.09,3.22,4.8,6.83,2.5,4.34
g_0,40.35,36.76,32.74,36.64,38.41,32.27,8.23,8.09,7.32,15.44,7.17,7.0,4.21,6.15,7.1,7.89
