,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.71,1.22,0.93,1.04,0.71,0.74,0.94,0.63,0.68,0.65,0.73,0.62,0.59,0.63,0.57
f_1,1.4,1.0,0.92,0.89,0.87,0.84,0.51,0.64,0.63,0.55,0.6,0.6,0.53,0.46,0.43,0.55
c_1,0.82,1.09,1.0,1.02,1.22,0.88,0.74,0.45,0.73,0.57,0.51,0.63,0.57,0.59,0.52,0.5
d_1,1.08,1.13,0.99,1.0,0.95,0.75,0.74,0.64,0.56,0.84,0.7,0.59,0.58,0.66,0.58,0.47
b_1,0.96,1.15,0.81,1.05,1.0,1.35,0.68,0.68,0.76,0.81,0.85,0.67,0.72,0.58,0.62,0.72
a_1,1.44,1.19,1.14,1.34,0.74,1.0,1.05,0.87,0.89,0.75,0.85,0.63,0.74,0.71,0.68,0.64
h_1,1.37,1.95,1.35,1.31,1.45,1.01,1.0,0.96,1.23,0.79,0.91,0.95,0.83,0.89,0.81,0.85
d_0,1.02,1.5,2.24,1.6,1.46,1.17,1.04,1.0,1.24,0.8,1.01,0.92,0.87,0.81,0.95,1.04
g_1,1.57,1.55,1.39,1.76,1.43,1.19,0.83,0.83,1.0,1.12,0.91,1.07,0.88,0.69,0.94,0.87
c_0,1.4,1.71,1.73,1.17,1.23,1.31,1.26,1.26,0.95,1.01,1.46,1.04,1.0,0.94,0.99,0.9
b_0,1.52,1.69,1.9,1.47,1.2,1.2,1.07,1.07,1.21,0.74,1.0,1.0,0.98,1.21,0.98,0.98
f_0,1.34,1.7,1.63,1.73,1.56,1.46,1.06,1.06,0.91,1.0,0.97,1.0,1.05,1.05,1.24,0.72
h_0,1.53,1.98,1.65,1.72,1.4,1.38,1.23,1.18,1.17,1.0,0.99,0.97,1.0,0.91,0.94,1.16
a_0,1.64,2.16,1.64,1.59,1.73,1.53,1.12,1.21,1.45,1.08,0.81,0.99,1.08,1.0,1.05,1.0
e_0,1.62,2.27,1.84,1.74,1.71,1.48,1.25,1.05,1.14,0.9,1.04,0.74,1.12,0.87,1.0,0.9
g_0,1.65,1.77,1.87,2.18,1.49,1.48,1.21,1.01,1.17,1.22,1.11,1.45,0.85,0.98,1.08,1.0
