,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.74,1.03,1.17,0.98,0.81,0.65,0.73,0.63,0.87,0.61,0.66,0.62,0.59,0.62,0.65
f_1,1.36,1.0,0.85,0.94,0.91,0.83,0.6,0.72,0.54,0.58,0.64,0.48,0.48,0.55,0.4,0.56
d_1,0.97,1.18,1.0,0.95,0.88,0.89,0.73,0.56,0.83,0.72,0.64,0.63,0.61,0.67,0.56,0.51
c_1,0.85,1.07,1.05,1.0,1.38,0.83,0.71,0.79,0.52,0.5,0.61,0.6,0.63,0.53,0.61,0.57
b_1,1.01,1.09,1.12,0.72,1.0,1.4,0.78,0.74,0.84,0.76,0.63,0.68,0.79,0.58,0.66,0.56
a_1,1.24,1.18,1.13,1.2,0.71,1.0,1.0,0.77,0.81,0.79,0.99,0.83,0.89,0.87,0.78,0.66
h_1,1.54,1.65,1.43,1.39,1.23,1.03,1.0,1.17,0.99,0.83,0.85,1.0,0.86,0.78,0.7,1.08
g_1,1.37,1.43,1.76,1.33,1.46,1.21,0.89,1.0,0.97,0.93,0.96,1.34,0.75,0.82,0.87,0.65
c_0,1.54,1.72,1.16,1.86,1.36,1.2,1.03,0.98,1.0,1.18,1.28,1.02,1.02,0.97,1.04,0.88
d_0,1.16,1.72,1.34,2.03,1.42,1.28,1.18,1.02,0.83,1.0,0.95,0.94,0.97,0.76,0.88,0.81
b_0,1.56,1.61,1.54,1.67,1.59,0.99,1.18,1.02,0.79,1.05,1.0,1.0,0.86,1.27,0.83,0.83
f_0,1.39,2.03,1.55,1.76,1.49,1.26,1.03,0.77,0.99,1.0,1.0,1.0,1.1,0.97,1.52,0.76
h_0,1.57,2.12,1.75,1.53,1.38,1.03,1.13,1.35,0.92,1.02,1.17,0.88,1.0,1.06,0.97,0.98
a_0,1.63,1.86,1.48,1.94,1.61,1.34,1.3,1.26,1.09,1.38,0.77,1.08,0.94,1.0,1.21,1.03
e_0,1.63,2.4,1.75,1.65,1.46,1.4,1.43,1.16,1.07,1.11,1.17,0.75,1.13,0.86,1.0,0.99
g_0,1.51,1.65,2.13,1.78,1.63,1.64,0.91,1.44,1.09,1.16,1.27,1.32,0.98,1.01,1.02,1.0
