,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.5,1.15,0.66,0.7,0.54,0.54,0.66,0.92,0.87,0.63,0.86,0.38,0.95,0.91,0.52,0.8
e_1,0.72,2.55,0.57,0.77,0.61,0.55,0.97,1.59,0.77,0.87,0.91,0.94,0.94,1.11,0.54,0.96
d_1,0.79,0.55,2.83,0.57,0.61,0.63,0.84,0.4,1.83,0.89,1.22,1.09,1.05,0.98,1.08,0.97
c_1,0.69,0.64,0.54,2.86,1.15,0.53,0.89,0.79,0.46,0.83,0.61,0.88,0.83,0.87,1.07,0.81
b_1,0.57,0.54,0.67,0.62,2.96,1.41,0.96,0.92,0.79,1.0,0.49,0.95,0.98,0.73,0.79,0.86
a_1,0.65,0.54,0.77,0.58,0.71,4.14,1.16,1.01,0.95,1.02,1.05,1.14,1.06,0.46,1.15,1.27
h_1,1.14,0.73,0.94,0.77,0.64,0.6,2.88,1.03,1.16,1.55,1.23,1.09,0.72,1.06,1.27,1.63
d_0,0.84,0.84,0.5,1.58,0.79,0.6,1.24,2.04,0.63,1.02,1.09,1.09,1.22,1.08,1.09,1.12
c_0,0.95,0.84,0.89,0.47,0.71,0.82,1.18,1.16,2.12,1.13,2.48,1.07,1.27,1.33,1.45,1.32
g_1,0.56,0.7,1.49,0.81,0.69,0.64,1.05,1.05,1.02,3.64,1.23,1.9,1.34,1.27,1.46,0.84
b_0,1.0,0.97,0.87,0.88,0.36,0.57,1.12,1.01,1.11,1.23,2.61,1.28,1.15,2.63,1.6,1.26
f_0,0.57,0.64,1.02,0.89,0.81,0.7,1.2,1.13,1.18,1.25,1.32,2.92,1.37,1.27,3.02,1.27
h_0,1.04,0.86,0.9,0.8,0.73,0.75,0.72,1.11,1.23,1.46,1.17,1.22,0.63,1.02,1.04,1.61
a_0,0.8,0.79,1.0,0.92,0.66,0.32,1.15,1.1,1.28,1.29,1.55,1.49,1.24,3.21,1.13,1.47
e_0,0.76,0.46,0.98,0.88,1.0,0.79,1.22,0.88,1.35,1.09,1.35,1.19,1.48,1.03,3.75,1.24
g_0,0.67,0.71,1.4,0.7,0.8,0.66,1.1,1.04,1.05,1.03,1.07,2.06,1.04,1.3,1.38,0.86
