,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.65,1.62,1.48,1.31,1.42,1.25,0.54,0.43,0.62,0.52,0.85,0.5,0.36,0.43,0.46,0.31
f_1,1.27,0.65,1.55,1.57,1.23,1.36,0.53,0.72,0.5,0.48,0.57,0.52,0.37,0.47,0.45,0.45
e_1,1.61,0.93,0.65,1.58,1.49,1.17,0.78,0.73,0.57,0.53,0.61,0.63,0.48,0.59,1.02,0.5
c_1,1.8,1.55,1.18,0.64,1.87,1.25,0.63,0.68,0.72,0.47,0.31,0.5,0.43,0.52,0.42,0.44
b_1,1.52,1.76,1.48,0.89,0.62,2.45,0.75,0.71,0.65,0.82,0.59,0.48,0.48,0.56,0.53,0.41
a_1,1.79,1.61,1.96,2.08,0.89,0.58,1.0,0.86,0.64,0.85,0.83,0.68,0.67,1.25,0.71,0.53
h_1,2.32,2.29,2.04,2.27,2.03,1.69,0.58,1.03,0.79,0.75,0.69,0.8,0.69,0.71,0.78,0.6
g_1,2.37,2.56,2.43,2.14,2.46,2.05,0.79,0.56,0.83,0.74,0.78,0.91,0.56,0.78,0.68,0.74
c_0,1.38,2.82,2.56,3.75,2.15,2.26,1.16,0.98,0.62,1.05,1.0,0.97,0.75,0.99,0.88,0.68
b_0,2.14,2.53,2.5,3.14,3.3,1.75,1.1,1.21,0.54,0.62,0.95,0.86,0.72,0.81,0.78,0.67
d_0,3.5,2.41,1.51,2.82,2.93,1.98,1.4,1.34,0.85,0.88,0.63,0.92,0.76,0.83,1.02,0.77
f_0,2.32,5.04,2.49,2.42,2.51,2.69,1.22,0.8,0.82,0.9,0.87,0.6,0.75,0.79,1.12,0.52
h_0,2.67,3.25,2.57,2.88,2.67,1.88,1.77,1.18,0.88,0.93,0.93,0.89,1.02,0.81,0.87,0.89
a_0,2.77,2.88,2.63,2.8,2.92,2.92,1.31,1.33,0.87,0.68,0.95,1.2,0.9,0.57,0.84,0.98
e_0,2.4,3.53,4.18,3.29,2.79,2.21,1.19,1.24,1.02,1.01,0.91,0.55,0.77,1.04,0.57,0.77
g_0,2.91,3.32,3.12,3.32,2.76,2.77,1.03,1.97,1.12,1.25,1.04,1.14,0.74,0.8,1.0,1.02
