,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,5.96,1.33,1.06,1.73,1.23,1.2,5.14,11.68,4.09,5.43,6.68,7.89,8.42,4.43,6.42,8.17
f_1,2.8,6.22,1.16,0.85,0.94,1.06,4.15,4.91,4.21,6.96,2.55,5.39,9.32,4.07,7.93,7.41
d_1,1.04,1.51,6.56,1.06,1.33,1.2,4.74,2.56,5.3,11.67,6.47,6.5,8.43,6.3,5.61,9.28
c_1,0.95,1.11,1.22,6.52,2.72,1.23,4.98,5.87,3.92,1.77,6.57,4.25,9.72,6.11,5.14,9.73
b_1,1.18,1.15,1.39,1.36,7.42,2.59,4.36,5.73,3.82,5.09,6.42,2.9,9.5,6.83,4.6,9.7
a_1,1.13,1.73,1.44,1.34,1.08,10.41,3.91,6.29,4.98,4.05,5.85,5.74,11.58,8.1,3.81,8.65
h_1,1.24,2.24,1.75,1.71,1.39,1.22,15.74,6.27,8.17,6.6,6.86,7.85,6.53,7.66,9.55,16.49
d_0,1.44,1.49,0.9,3.07,1.59,1.48,6.16,13.94,5.66,4.93,8.11,8.91,11.16,8.34,9.47,11.28
g_1,1.32,1.38,2.33,1.71,1.54,1.51,5.68,5.42,18.84,6.4,11.87,6.6,10.46,7.98,7.77,6.59
c_0,1.91,1.77,2.05,0.79,1.0,1.52,6.43,7.94,5.44,15.93,7.89,15.25,11.38,7.54,10.48,13.44
f_0,1.19,0.93,1.72,2.04,1.76,1.78,5.93,8.05,6.95,6.47,17.86,8.0,10.98,17.11,9.51,11.93
b_0,1.49,2.17,1.53,1.85,0.59,0.9,6.74,7.75,7.04,7.16,7.24,19.52,10.89,9.67,20.58,12.71
h_0,1.49,2.31,1.6,1.58,1.35,1.69,4.16,8.18,7.88,7.47,7.45,7.29,7.2,7.68,7.0,14.54
e_0,0.82,1.94,1.5,1.76,1.42,1.4,6.82,7.38,6.72,8.11,7.02,7.9,15.22,25.12,11.47,13.54
a_0,1.93,1.58,1.67,1.79,1.38,0.77,7.34,7.61,6.42,8.94,7.19,8.33,10.28,6.85,22.6,11.88
g_0,1.29,1.43,2.85,1.46,1.54,1.51,5.58,6.37,4.09,9.19,12.84,7.21,11.78,8.44,10.1,7.29
