,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,9874.94,138.16,151.21,295.04,460.95,1487.66,258941.07,305582.37,997462.01,731367.77,1275999.27,966666.12,6155770.26,,9939796.31,16648467.01
d_1,151.01,12324.8,199.92,243.51,527.07,1622.84,229054.83,327867.58,,1348081.65,1131836.5,1414795.62,5565700.5,5841965.69,7066031.56,14057541.43
f_1,291.21,161.15,14288.61,259.15,434.27,1114.27,250206.7,251094.52,622589.53,663127.06,,1373867.9,4657454.02,3555372.0,8561739.72,19304274.4
c_1,122.08,157.05,165.94,24961.57,797.56,1557.05,215772.37,329093.52,782988.74,,1256596.88,1023893.76,7409316.2,4280267.46,7656903.7,16955839.96
b_1,117.21,188.17,169.6,222.07,46282.08,2378.57,316505.49,284770.45,708804.8,917481.12,1316598.54,,6118166.84,4151502.13,,14826092.2
a_1,135.66,91.76,204.49,399.84,423.9,207706.53,305285.87,281014.45,372225.12,530974.72,1208970.69,1280086.62,6119853.68,7474764.14,,22376124.38
h_1,428.2,570.32,1053.34,901.46,2073.83,5106.54,12303020.74,1419158.21,2081188.86,2770871.83,2873154.59,3232298.91,,29491012.17,25850445.71,118949718.05
g_1,444.93,1037.06,493.59,936.67,1946.3,6242.37,672821.45,14901161.19,2162485.3,2971983.5,6530534.48,4664667.48,18465144.46,26965844.25,24941640.98,
d_0,867.19,,748.07,3201.85,2110.36,8423.09,1332977.36,1090861.0,17962528.44,2819685.66,6713842.93,5035382.2,32498842.33,33078293.71,36675083.29,76437820.28
c_0,953.59,793.81,843.25,,1738.09,6317.86,1030020.34,1432359.68,1993444.81,24881722.31,8442397.26,9553239.01,42060947.87,23351394.94,36551327.88,73582848.84
f_0,548.19,1064.78,,1179.7,2664.46,6409.28,1447414.2,584359.26,3628886.84,2797160.94,50065102.81,6385854.95,40665391.39,40271790.73,47277285.73,93060661.76
b_0,487.28,912.67,1263.3,1487.45,,7691.14,1535136.28,1009347.82,3151401.73,3178591.98,5108683.96,48277063.43,26377551.17,21813886.65,97181087.34,67680481.28
h_0,543.68,950.43,2084.8,1648.18,3185.22,12586.05,,2773963.18,3963696.21,6468851.91,10944044.69,13680055.86,,44933322.6,49233068.44,186898679.89
e_0,,628.01,684.95,1270.56,2357.23,8094.01,894765.14,1780398.48,2643903.27,3890596.58,4466449.41,10421715.28,38435860.27,330084856.2,,129438920.45
a_0,582.45,848.5,1030.11,1226.19,,,1048552.9,1100653.95,3348364.34,3647434.29,7734866.81,7734866.81,28026148.12,,485577122.2,74157714.84
g_0,640.7,2088.93,1287.63,2337.93,2168.74,9738.1,1768559.23,,3515782.55,4235076.48,13882050.43,7612737.33,69364716.59,50009383.88,59859938.34,
