,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.24,1.18,0.54,0.52,0.41,0.45,0.89,0.75,0.86,0.73,0.75,0.32,0.87,0.77,0.52,0.87
e_1,0.58,16.26,0.41,0.69,0.55,0.46,0.89,0.55,0.83,2.23,0.91,0.98,1.05,1.09,0.48,1.15
d_1,0.53,0.48,20.23,0.43,0.47,0.64,0.97,1.05,2.09,0.29,1.14,1.08,0.89,0.86,0.86,1.03
c_1,0.51,0.41,0.56,19.79,1.16,0.53,0.71,0.79,0.27,0.83,0.69,1.0,0.94,0.84,1.11,0.74
b_1,0.52,0.43,0.5,0.63,22.95,1.13,0.69,0.9,0.83,0.77,0.39,0.86,0.97,0.64,0.89,0.79
a_1,0.58,0.4,0.56,0.49,0.55,33.5,1.13,1.14,0.94,1.04,1.21,0.97,0.95,0.54,0.94,1.03
h_1,0.97,0.64,0.67,0.68,0.51,0.57,6.13,1.7,1.15,0.92,1.24,0.96,0.74,1.41,1.44,1.54
g_1,0.49,0.5,1.52,0.53,0.7,0.73,0.82,7.42,1.54,0.54,1.44,2.66,1.1,1.24,1.65,0.84
c_0,0.94,0.62,0.9,0.41,0.44,0.56,1.39,1.27,3.13,1.24,3.03,1.64,1.42,1.51,1.56,1.61
d_0,0.8,0.62,0.28,1.91,0.66,0.48,1.34,0.99,0.63,3.07,1.27,0.9,1.39,1.09,1.24,1.09
b_0,0.83,0.67,0.95,0.66,0.28,0.58,1.43,1.21,1.19,1.12,3.96,1.36,1.36,2.59,1.61,1.3
f_0,0.3,0.56,0.78,0.62,0.75,0.97,1.12,1.34,1.06,1.4,1.68,5.23,1.64,1.63,4.77,1.3
h_0,1.26,0.7,0.79,0.62,0.81,0.67,0.41,1.36,0.94,0.93,1.1,1.06,0.68,1.21,1.44,1.36
a_0,0.9,0.6,0.87,0.84,0.75,0.28,1.13,0.99,1.17,1.19,1.32,0.95,1.5,5.0,1.06,1.4
e_0,0.68,0.28,0.96,0.7,0.7,0.61,1.24,1.72,1.12,1.47,1.43,1.78,1.45,2.24,6.84,1.21
g_0,0.6,0.56,1.47,0.69,0.61,0.59,1.17,0.75,1.18,0.83,1.2,2.02,1.33,1.25,1.72,0.62
