,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,10025.54,1112.93,1214.11,2717.51,3399.54,10931.06,1905540.72,2179284.77,7647208.78,4811630.06,11019993.73,9047994.85,46916951.68,12192377.01,73156900.86,133187736.1
d_1,1018.53,12493.31,1543.56,1704.55,3734.64,11562.74,1901849.19,2337107.37,921862.79,10301758.31,9378073.83,12005551.42,46786669.83,47001269.45,73154209.12,108443891.04
f_1,2071.54,1206.55,14460.99,2148.47,2822.76,9401.65,1794339.46,1723027.94,4467079.9,5180680.12,1373867.9,10199928.34,32064779.57,28716466.12,58219830.08,137198235.95
c_1,861.94,1247.18,1370.35,25232.59,7247.36,11599.99,1542372.85,2197183.24,4837130.42,764472.53,9168503.17,7446500.04,49462191.9,34547873.09,61255229.58,115607999.76
b_1,891.62,1228.33,1471.9,1871.77,46556.75,22288.09,2034678.18,2102920.21,4626920.21,5924306.69,10638116.2,2369877.37,49398532.29,42552896.85,35198787.7,128202091.37
a_1,955.3,1228.14,1701.34,2713.23,3099.73,208301.33,1929406.73,2011471.88,3030975.95,5238950.56,8676142.62,10738504.39,48652836.78,56527903.78,10237546.24,146033653.85
h_1,1441.61,2156.54,3965.52,2920.72,5820.09,17422.32,12858044.23,4668283.58,6780647.58,10368423.63,16161494.56,15084061.59,33223980.1,92011957.97,118173466.09,377665354.79
g_1,1512.75,3777.84,1824.15,3971.48,5421.84,21224.07,2787403.14,15328017.37,6417698.31,7615707.71,25375791.11,16606216.24,62620924.7,96831895.27,99766563.9,95787048.34
d_0,2217.99,874.59,2123.56,7667.58,6018.43,24918.31,3314430.18,2836238.59,20080381.14,6892564.95,15945376.97,11329609.95,76733377.71,88208783.22,101395818.52,277955710.1
c_0,2207.39,2976.8,2861.94,1472.18,4552.15,19325.23,2937465.42,3511591.48,6229515.04,28088699.85,19772983.06,31103568.86,101328647.15,89027193.2,116507357.63,224427688.95
f_0,1766.39,2814.07,822.62,4462.36,7327.26,17945.99,3552743.96,2974919.88,9072217.09,7501477.06,55684655.17,17369525.47,114302721.73,179545067.02,126072761.95,325712316.18
b_0,1482.14,2509.85,3172.95,4154.61,1427.39,21791.56,3552743.96,3293661.3,8499234.96,10425781.68,20434735.84,55940089.37,89024235.19,78865590.19,278410682.64,258031834.89
h_0,1250.47,2443.96,4090.92,3502.39,6115.62,23455.83,704707.63,4978908.27,7032364.24,10554442.59,17442071.22,21204086.58,29430799.93,83126646.81,98466136.87,283179818.02
e_0,532.53,2548.96,2911.05,4334.86,6655.7,23659.41,2812119.03,5728238.59,10158154.66,9633858.2,20099022.33,25309879.97,113706086.65,352090513.28,126297891.88,295860389.61
a_0,1779.71,2383.88,3183.96,4005.54,6673.04,,2796141.08,3471293.23,9892894.63,8713315.26,23611698.68,22797502.17,105098055.44,82903256.71,523251209.27,222473144.53
g_0,1245.8,3911.18,2060.21,4136.33,4837.95,19476.2,3152649.06,1583248.38,7701237.97,8247254.21,27316292.78,17912323.14,111754265.62,102960496.23,119719876.68,88989257.81
