,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.17,0.96,0.77,0.9,0.73,0.68,0.19,0.13,0.14,0.35,0.15,0.13,0.11,0.08,0.14,0.12
e_1,0.79,0.17,0.42,0.9,0.8,0.72,0.34,0.31,0.16,0.19,0.19,0.17,0.13,0.12,0.19,0.45
f_1,0.76,0.76,0.16,0.73,0.71,0.77,0.17,0.23,0.14,0.14,0.15,0.33,0.08,0.11,0.15,0.17
c_1,0.99,0.62,0.76,0.15,0.78,0.75,0.25,0.26,0.38,0.09,0.14,0.14,0.11,0.14,0.13,0.17
b_1,0.74,0.77,1.03,0.42,0.13,0.8,0.19,0.21,0.23,0.2,0.41,0.19,0.12,0.14,0.16,0.13
a_1,0.84,0.7,0.86,0.89,0.39,0.09,0.29,0.24,0.18,0.19,0.24,0.19,0.15,0.11,0.87,0.18
h_1,0.58,0.57,0.59,0.58,0.72,0.64,0.06,0.2,0.12,0.11,0.13,0.13,0.16,0.09,0.13,0.13
g_1,0.6,0.61,0.72,0.59,0.73,0.63,0.12,0.05,0.13,0.14,0.12,0.13,0.06,0.15,0.13,0.12
c_0,0.31,0.57,0.75,1.56,0.75,0.54,0.16,0.21,0.06,0.18,0.13,0.12,0.1,0.09,0.14,0.12
d_0,0.96,0.33,0.68,0.64,0.73,0.62,0.18,0.32,0.14,0.06,0.12,0.12,0.1,0.09,0.15,0.13
b_0,0.47,0.51,0.61,1.13,1.14,0.6,0.19,0.18,0.06,0.14,0.06,0.12,0.08,0.08,0.17,0.11
f_0,0.51,0.54,1.03,0.78,0.65,0.56,0.18,0.13,0.14,0.14,0.14,0.05,0.1,0.05,0.13,0.13
h_0,0.53,0.64,0.69,0.58,0.61,0.55,0.32,0.2,0.11,0.12,0.12,0.12,0.15,0.09,0.1,0.11
g_0,0.48,0.61,0.74,0.61,0.6,0.72,0.12,0.3,0.11,0.12,0.13,0.12,0.06,0.13,0.13,0.14
a_0,0.58,0.59,0.67,0.58,0.95,1.06,0.16,0.14,0.1,0.13,0.05,0.11,0.12,0.07,0.04,0.11
e_0,0.59,0.99,0.72,0.5,0.63,0.59,0.15,0.15,0.12,0.13,0.13,0.07,0.08,0.08,0.13,0.04
