,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.4,0.65,0.63,0.59,0.56,0.54,0.29,0.22,0.3,0.33,0.28,0.24,0.22,0.18,0.25,0.24
e_1,0.56,0.4,0.43,0.71,0.62,0.55,0.37,0.34,0.27,0.33,0.28,0.31,0.23,0.26,0.29,0.33
f_1,0.57,0.65,0.4,0.6,0.57,0.52,0.26,0.31,0.24,0.26,0.25,0.29,0.18,0.24,0.25,0.22
c_1,0.7,0.51,0.58,0.38,0.67,0.57,0.35,0.36,0.29,0.18,0.23,0.24,0.23,0.23,0.23,0.26
b_1,0.64,0.61,0.62,0.41,0.36,0.72,0.32,0.33,0.33,0.3,0.33,0.3,0.25,0.25,0.23,0.27
a_1,0.65,0.6,0.64,0.59,0.36,0.3,0.34,0.35,0.32,0.3,0.4,0.3,0.25,0.2,0.38,0.26
h_1,0.56,0.5,0.61,0.59,0.58,0.52,0.23,0.32,0.24,0.24,0.27,0.25,0.24,0.23,0.25,0.24
g_1,0.63,0.55,0.6,0.52,0.57,0.49,0.24,0.21,0.27,0.25,0.27,0.24,0.19,0.23,0.26,0.24
c_0,0.42,0.56,0.65,0.82,0.59,0.47,0.3,0.31,0.22,0.35,0.3,0.25,0.24,0.21,0.28,0.28
d_0,0.61,0.41,0.57,0.69,0.58,0.49,0.33,0.41,0.24,0.23,0.25,0.25,0.23,0.23,0.28,0.3
b_0,0.49,0.51,0.61,0.84,0.67,0.42,0.29,0.3,0.17,0.28,0.21,0.22,0.23,0.2,0.35,0.25
f_0,0.56,0.5,0.63,0.64,0.54,0.5,0.28,0.26,0.26,0.29,0.27,0.2,0.24,0.16,0.25,0.3
h_0,0.56,0.56,0.65,0.56,0.53,0.47,0.34,0.34,0.24,0.26,0.24,0.23,0.25,0.24,0.23,0.23
g_0,0.58,0.53,0.62,0.58,0.59,0.59,0.26,0.34,0.25,0.26,0.25,0.27,0.17,0.22,0.24,0.24
a_0,0.56,0.51,0.56,0.64,0.78,0.58,0.3,0.28,0.2,0.24,0.16,0.23,0.25,0.21,0.18,0.26
e_0,0.58,0.53,0.67,0.54,0.56,0.53,0.29,0.28,0.24,0.24,0.27,0.16,0.22,0.18,0.28,0.18
