,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,0.95,1.65,1.81,2.07,1.62,0.54,0.36,0.36,0.61,0.35,0.47,0.28,0.35,1.01,0.29
f_1,1.52,0.43,1.63,1.96,1.65,1.34,0.33,0.34,0.31,0.62,0.35,0.67,0.18,0.27,0.35,0.33
d_1,2.37,1.94,0.41,1.94,1.82,1.61,0.44,0.7,0.3,0.28,0.33,0.31,0.26,0.33,0.29,0.16
c_1,1.5,1.83,2.77,0.4,1.68,1.8,0.6,0.21,0.88,0.55,0.4,0.33,0.26,0.35,0.39,0.27
b_1,1.94,2.58,2.01,0.98,0.38,2.34,0.63,0.43,0.59,0.74,1.0,0.48,0.31,0.58,0.35,0.27
a_1,2.46,2.57,2.32,2.5,1.17,0.33,0.84,0.54,0.43,0.66,0.49,0.45,0.35,1.51,0.45,0.43
h_1,3.16,2.52,2.62,3.27,2.95,2.56,0.32,0.67,0.51,0.79,0.57,0.56,0.54,0.45,0.43,0.42
d_0,1.77,2.94,6.6,2.82,3.44,2.68,1.03,0.39,0.77,1.06,0.64,0.69,0.46,0.69,0.71,0.63
c_0,3.57,3.3,1.64,7.76,3.19,3.49,0.87,0.93,0.37,0.91,0.61,0.58,0.42,0.67,0.59,0.41
g_1,3.09,3.65,2.99,3.92,2.77,4.45,0.67,0.7,0.62,0.29,0.67,0.54,0.32,0.58,0.53,0.61
b_0,2.91,3.38,2.93,4.06,4.94,3.33,0.89,0.74,0.39,0.99,0.36,0.63,0.47,0.66,0.56,0.48
f_0,3.33,6.55,3.18,3.59,3.31,3.57,0.9,0.69,0.71,0.57,0.57,0.33,0.5,0.5,0.54,0.28
h_0,3.49,4.65,3.68,4.26,3.84,3.73,1.6,0.77,0.85,1.2,0.75,0.66,0.93,0.71,0.73,0.55
a_0,3.6,4.47,3.9,5.1,5.76,8.13,1.02,0.94,0.76,1.65,0.43,0.88,0.66,0.31,0.73,0.44
e_0,6.47,7.18,4.11,4.11,3.36,3.58,1.52,0.95,0.89,0.9,0.86,0.39,0.58,0.83,0.3,0.53
g_0,4.85,4.42,3.94,4.41,4.62,3.88,0.99,0.97,0.88,1.86,0.86,0.84,0.51,0.74,0.85,0.95
