,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.22,0.14,0.21,0.15,0.09,0.16,0.33,0.12,0.14,0.16,0.14,0.18,0.15,0.05,0.12
f_1,0.37,0.89,0.17,0.14,0.13,0.1,0.15,0.16,0.11,0.18,0.13,0.07,0.14,0.09,0.08,0.12
d_1,0.19,0.28,0.89,0.12,0.11,0.1,0.18,0.08,0.12,0.29,0.19,0.13,0.15,0.1,0.12,0.14
c_1,0.18,0.17,0.13,0.89,0.34,0.09,0.14,0.18,0.1,0.05,0.13,0.13,0.16,0.09,0.1,0.12
b_1,0.16,0.15,0.19,0.18,0.88,0.23,0.14,0.15,0.14,0.14,0.05,0.17,0.16,0.09,0.1,0.13
a_1,0.2,0.2,0.21,0.19,0.11,0.88,0.17,0.17,0.16,0.13,0.15,0.16,0.2,0.04,0.12,0.14
h_1,0.24,0.34,0.24,0.19,0.17,0.11,0.55,0.21,0.19,0.17,0.18,0.14,0.1,0.11,0.11,0.25
d_0,0.2,0.21,0.12,0.42,0.23,0.12,0.17,0.45,0.14,0.12,0.18,0.17,0.23,0.14,0.12,0.19
g_1,0.19,0.2,0.35,0.14,0.18,0.15,0.19,0.16,0.56,0.19,0.15,0.27,0.18,0.13,0.14,0.09
c_0,0.23,0.3,0.28,0.12,0.12,0.13,0.24,0.25,0.16,0.42,0.34,0.19,0.2,0.17,0.14,0.22
b_0,0.25,0.28,0.26,0.2,0.07,0.12,0.22,0.24,0.15,0.2,0.43,0.16,0.23,0.26,0.16,0.2
f_0,0.21,0.12,0.22,0.2,0.24,0.18,0.21,0.27,0.18,0.18,0.18,0.43,0.22,0.14,0.3,0.16
h_0,0.27,0.34,0.22,0.22,0.21,0.14,0.1,0.22,0.2,0.18,0.15,0.13,0.12,0.11,0.13,0.22
a_0,0.25,0.27,0.23,0.21,0.17,0.07,0.24,0.26,0.13,0.18,0.23,0.18,0.26,0.38,0.14,0.17
e_0,0.09,0.3,0.24,0.22,0.25,0.13,0.19,0.24,0.17,0.21,0.16,0.19,0.27,0.13,0.36,0.22
g_0,0.22,0.2,0.38,0.22,0.18,0.14,0.18,0.17,0.1,0.19,0.19,0.23,0.2,0.16,0.14,0.1
