,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.44,1.86,1.74,1.55,1.57,1.63,0.47,0.35,0.3,0.77,0.4,0.3,0.22,0.29,0.15,0.35
f_1,1.7,0.43,1.62,1.94,1.77,1.37,0.37,0.34,0.55,0.36,0.3,0.53,0.18,0.33,0.3,0.27
e_1,1.94,0.94,0.42,1.89,1.99,1.82,0.51,0.41,0.61,0.37,0.4,0.49,0.27,0.38,0.32,0.73
c_1,2.31,2.13,1.59,0.39,2.32,1.67,0.45,0.57,0.49,0.21,0.34,0.33,0.26,0.37,0.27,0.36
b_1,1.88,2.59,1.85,1.03,0.38,2.36,0.76,0.47,0.67,0.38,0.83,0.41,0.31,0.48,0.33,0.4
a_1,2.56,2.39,2.38,2.7,1.12,0.33,0.84,0.56,0.75,0.55,0.52,0.6,0.45,0.92,0.44,0.44
h_1,2.28,2.68,2.91,3.7,2.74,2.78,0.32,0.56,0.76,0.66,0.54,0.61,0.62,0.43,0.41,0.46
c_0,1.69,3.78,3.61,5.51,2.84,3.08,0.86,0.37,1.0,0.9,0.74,0.65,0.5,0.69,0.45,0.56
g_1,2.78,3.77,3.31,3.42,3.23,2.59,0.58,0.59,0.3,0.69,0.6,0.54,0.37,0.65,0.52,0.45
d_0,4.81,3.05,1.71,3.11,4.04,3.26,1.07,0.71,1.22,0.38,0.83,0.61,0.47,0.8,0.56,0.64
b_0,2.61,3.39,3.07,5.48,4.78,3.03,1.07,0.37,1.04,0.74,0.35,0.84,0.54,0.71,0.48,0.68
f_0,3.13,7.52,3.24,4.0,2.97,3.19,0.94,0.72,0.67,0.78,0.66,0.34,0.53,0.78,0.3,0.7
h_0,3.55,3.9,3.34,3.95,4.05,3.44,1.61,0.75,1.03,0.79,0.8,0.76,0.83,0.68,0.59,0.62
a_0,3.39,4.67,3.88,5.56,4.79,7.39,1.03,0.61,1.2,1.15,0.41,0.76,0.59,0.32,0.53,0.79
g_0,3.54,4.89,4.26,4.72,4.2,3.54,1.0,0.8,1.37,1.02,0.75,0.8,0.45,0.74,0.75,0.86
e_0,3.5,5.66,6.87,3.47,4.12,4.52,1.15,0.95,0.96,1.17,0.79,0.41,0.61,0.8,0.5,0.32
