,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.16,0.33,0.32,0.39,0.36,0.32,0.08,0.07,0.11,0.07,0.07,0.1,0.04,0.06,0.08,0.06
e_1,0.23,0.16,0.36,0.39,0.42,0.39,0.1,0.08,0.11,0.08,0.07,0.09,0.06,0.08,0.1,0.06
d_1,0.38,0.43,0.15,0.34,0.29,0.3,0.09,0.07,0.06,0.12,0.07,0.07,0.05,0.07,0.07,0.03
c_1,0.37,0.3,0.45,0.15,0.34,0.3,0.12,0.09,0.11,0.04,0.07,0.07,0.05,0.07,0.07,0.05
b_1,0.43,0.35,0.4,0.21,0.14,0.38,0.1,0.1,0.11,0.07,0.1,0.06,0.06,0.07,0.06,0.05
a_1,0.42,0.37,0.36,0.37,0.2,0.09,0.12,0.09,0.1,0.07,0.12,0.07,0.05,0.12,0.07,0.06
h_1,0.35,0.33,0.29,0.35,0.27,0.26,0.05,0.08,0.1,0.08,0.08,0.07,0.06,0.06,0.06,0.04
c_0,0.37,0.35,0.2,0.54,0.33,0.28,0.1,0.05,0.07,0.09,0.06,0.07,0.05,0.06,0.06,0.04
g_1,0.36,0.31,0.31,0.36,0.34,0.26,0.08,0.07,0.04,0.07,0.06,0.06,0.04,0.07,0.07,0.05
d_0,0.31,0.21,0.41,0.37,0.38,0.32,0.1,0.07,0.1,0.05,0.07,0.07,0.05,0.07,0.06,0.05
b_0,0.32,0.33,0.24,0.45,0.41,0.3,0.09,0.04,0.09,0.07,0.04,0.06,0.04,0.06,0.06,0.06
f_0,0.47,0.33,0.27,0.32,0.33,0.3,0.09,0.07,0.06,0.07,0.07,0.04,0.05,0.06,0.06,0.03
h_0,0.33,0.33,0.31,0.33,0.3,0.27,0.11,0.07,0.09,0.07,0.06,0.06,0.06,0.06,0.06,0.05
a_0,0.35,0.31,0.31,0.35,0.38,0.43,0.1,0.06,0.09,0.06,0.04,0.05,0.05,0.03,0.06,0.05
e_0,0.43,0.37,0.28,0.34,0.27,0.31,0.08,0.06,0.08,0.08,0.06,0.04,0.05,0.06,0.03,0.04
g_0,0.4,0.32,0.31,0.35,0.28,0.29,0.07,0.08,0.11,0.07,0.06,0.07,0.04,0.06,0.05,0.05
