,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,11.64,13.07,12.7,13.12,11.65,2.89,3.06,3.67,2.43,2.85,,1.02,3.22,2.66,2.08
d_1,13.79,0.17,12.89,12.22,10.4,11.33,5.19,,2.41,3.8,2.23,2.52,1.59,2.17,2.08,1.25
e_1,6.79,18.84,0.16,12.2,13.96,12.78,2.98,3.04,4.58,2.07,2.84,2.52,1.94,2.17,,3.47
c_1,12.7,14.13,16.71,0.15,17.8,16.96,2.97,1.11,4.67,,2.38,2.93,1.97,2.78,2.3,1.49
b_1,12.37,13.09,12.65,7.79,0.14,11.07,4.48,2.52,2.95,3.14,,2.02,1.83,3.46,,1.61
a_1,19.66,13.39,10.5,10.86,7.16,0.1,4.21,2.55,3.62,3.42,3.82,2.09,1.96,,,1.46
h_1,2.65,2.84,4.25,4.23,2.59,3.41,0.07,0.76,0.84,0.65,0.63,0.68,,0.66,0.61,0.51
d_0,3.25,,1.43,2.9,2.69,2.17,0.85,0.09,0.56,0.45,0.43,0.47,0.35,0.57,0.5,0.44
g_1,2.94,3.11,4.37,2.69,4.69,3.21,0.71,0.87,0.06,0.81,0.81,0.6,0.33,0.97,0.82,
c_0,2.43,1.66,2.22,,3.14,3.22,0.51,0.55,0.89,0.08,0.73,0.52,0.41,0.46,0.36,0.36
b_0,2.1,2.85,2.95,3.17,,3.54,0.72,0.44,0.74,0.3,0.07,0.49,0.33,0.61,0.7,0.29
f_0,,3.33,2.92,2.41,2.52,2.59,0.66,0.66,0.48,0.45,0.54,0.06,0.4,0.74,0.5,0.19
h_0,2.45,1.35,1.55,1.68,1.39,1.77,,0.36,0.53,0.31,0.29,0.44,,0.21,0.24,0.31
a_0,3.41,2.09,2.85,2.78,3.74,,0.7,0.47,0.82,0.59,0.29,0.54,0.49,0.05,,0.3
e_0,4.1,2.27,,3.28,,,0.55,0.55,0.61,0.54,0.35,0.44,0.27,,0.04,0.41
g_0,1.73,1.68,2.31,1.49,1.55,2.24,0.35,0.29,,0.38,0.41,0.36,0.2,0.3,0.41,
