,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.91,0.29,0.53,0.3,0.23,0.18,0.29,0.19,0.27,0.28,0.23,0.14,0.28,0.17,0.21,0.11
d_1,0.36,0.91,0.3,0.21,0.26,0.2,0.31,0.26,0.5,0.18,0.3,0.26,0.27,0.19,0.29,0.17
e_1,0.39,0.29,0.91,0.34,0.24,0.19,0.29,0.25,0.26,0.46,0.25,0.25,0.32,0.16,0.23,0.11
c_1,0.33,0.32,0.28,0.91,0.48,0.19,0.26,0.21,0.16,0.24,0.15,0.21,0.24,0.15,0.24,0.16
b_1,0.33,0.33,0.29,0.28,0.89,0.41,0.29,0.23,0.22,0.24,0.14,0.22,0.25,0.12,0.21,0.19
a_1,0.39,0.37,0.33,0.28,0.25,0.88,0.32,0.26,0.25,0.26,0.26,0.23,0.31,0.11,0.25,0.15
h_1,0.49,0.36,0.36,0.31,0.27,0.22,0.63,0.3,0.32,0.24,0.24,0.26,0.21,0.2,0.32,0.18
g_1,0.34,0.54,0.29,0.29,0.3,0.18,0.33,0.6,0.35,0.23,0.29,0.37,0.34,0.19,0.2,0.23
c_0,0.4,0.43,0.31,0.27,0.22,0.21,0.33,0.29,0.52,0.27,0.54,0.28,0.34,0.26,0.27,0.2
d_0,0.36,0.19,0.31,0.62,0.31,0.22,0.3,0.29,0.22,0.47,0.27,0.26,0.31,0.19,0.27,0.2
b_0,0.37,0.44,0.34,0.35,0.16,0.16,0.37,0.27,0.33,0.34,0.5,0.29,0.36,0.45,0.29,0.19
f_0,0.33,0.4,0.32,0.34,0.26,0.24,0.36,0.27,0.3,0.31,0.26,0.48,0.33,0.21,0.29,0.43
h_0,0.44,0.41,0.33,0.33,0.29,0.21,0.24,0.33,0.32,0.31,0.29,0.23,0.23,0.23,0.35,0.19
a_0,0.37,0.36,0.35,0.36,0.27,0.15,0.36,0.28,0.31,0.32,0.28,0.3,0.39,0.44,0.3,0.23
g_0,0.37,0.51,0.31,0.3,0.3,0.21,0.31,0.22,0.38,0.29,0.26,0.38,0.29,0.23,0.23,0.23
e_0,0.37,0.43,0.28,0.33,0.33,0.23,0.37,0.25,0.3,0.28,0.28,0.24,0.32,0.2,0.28,0.44
