,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.62,1.26,0.46,0.43,0.49,0.47,0.77,0.68,0.74,0.88,0.99,0.28,0.99,0.68,0.63,0.75
e_1,0.63,16.76,0.45,0.63,0.48,0.56,0.96,0.72,1.94,0.91,0.85,0.95,0.81,1.01,0.41,0.97
d_1,0.6,0.44,19.61,0.43,0.47,0.49,0.92,0.91,0.36,2.14,1.29,1.06,1.07,1.05,1.23,1.13
c_1,0.49,0.42,0.49,19.8,1.19,0.49,0.83,1.03,0.87,0.23,0.61,0.84,0.9,0.85,0.95,0.8
b_1,0.46,0.44,0.54,0.64,21.26,1.23,0.79,0.78,0.91,0.81,0.38,1.1,1.1,0.74,0.89,0.83
a_1,0.6,0.47,0.69,0.63,0.39,33.52,0.91,0.83,0.98,0.84,0.9,1.1,0.98,0.49,1.06,1.0
h_1,1.05,0.61,0.85,0.62,0.61,0.5,5.58,1.57,1.06,1.27,1.16,1.27,0.56,0.91,1.32,1.67
g_1,0.44,0.4,1.63,0.7,0.79,0.44,1.16,6.77,0.78,1.09,1.25,2.09,1.0,1.24,1.45,0.69
d_0,0.72,0.55,0.3,1.8,0.72,0.71,1.23,0.98,3.02,0.73,0.95,1.29,1.08,1.19,1.14,1.18
c_0,0.8,0.71,0.94,0.36,0.48,0.57,1.08,1.39,1.04,3.38,3.3,1.15,1.53,1.72,1.21,1.51
b_0,0.67,0.83,0.88,0.66,0.28,0.52,1.02,1.24,1.28,1.25,4.2,1.15,1.27,3.67,1.11,1.53
f_0,0.27,0.46,0.91,0.92,0.77,0.82,1.31,1.34,1.13,0.97,1.18,4.62,1.34,1.49,3.5,1.74
h_0,1.08,0.61,0.82,0.62,0.62,0.65,0.61,1.84,0.95,1.02,1.25,1.31,0.65,0.99,1.33,1.84
a_0,0.75,0.62,0.77,0.71,0.86,0.41,1.38,1.1,1.41,1.11,1.44,1.21,1.53,4.75,1.5,1.47
e_0,0.77,0.26,0.73,0.75,0.9,0.75,1.51,1.55,0.87,1.28,1.23,1.34,1.61,1.28,5.52,1.18
g_0,0.58,0.61,1.26,0.77,0.53,0.64,1.07,0.84,0.95,1.03,1.65,2.26,1.45,1.28,1.57,0.69
