,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.31,1.73,1.02,1.0,0.88,0.66,1.77,2.3,1.61,2.02,1.39,1.98,2.63,1.2,1.5,2.03
e_1,1.24,2.33,1.25,0.9,0.91,0.83,2.0,3.52,1.73,2.15,2.09,1.93,2.94,1.45,1.76,2.25
c_1,1.17,0.93,2.49,0.93,1.73,1.01,1.84,1.85,1.69,1.23,1.91,1.36,2.55,1.52,1.57,2.69
d_1,1.1,1.11,0.8,2.53,0.9,0.86,2.05,1.63,2.04,3.93,2.48,2.62,2.66,2.04,1.7,2.47
b_1,1.11,1.01,1.14,0.95,2.69,1.71,1.76,2.45,1.6,1.76,1.88,1.29,2.63,1.77,1.55,2.48
a_1,1.16,1.05,1.18,1.04,1.02,3.07,1.75,2.31,1.53,1.82,1.97,2.0,2.8,1.77,1.5,2.43
h_1,1.43,1.18,1.22,1.13,0.94,0.76,3.62,2.03,2.41,2.08,2.06,2.2,2.12,1.6,1.69,3.1
d_0,1.2,1.03,1.79,0.85,1.17,0.91,2.07,3.15,1.7,1.66,2.42,1.96,2.8,1.7,1.82,2.97
g_1,1.15,1.06,0.98,1.73,0.93,0.74,2.15,2.04,3.85,2.38,3.27,2.42,2.82,2.28,2.36,2.22
c_0,1.24,1.3,0.92,1.26,0.84,0.79,2.26,2.29,2.24,3.45,2.42,4.05,3.1,2.25,2.45,2.9
f_0,0.92,0.88,1.25,1.22,1.18,1.05,2.28,2.5,2.1,2.81,3.7,2.48,3.14,4.17,1.97,3.18
b_0,1.28,1.24,1.18,1.23,0.79,0.71,2.15,2.07,2.23,2.16,2.28,3.62,3.15,2.13,3.6,3.17
h_0,1.51,1.12,1.06,1.11,0.99,0.85,1.7,2.33,2.26,2.05,2.23,2.33,2.58,2.11,2.0,3.25
e_0,1.07,0.9,1.24,1.23,1.24,0.89,2.38,2.42,1.92,2.16,2.48,2.43,3.49,4.01,2.39,3.37
a_0,1.41,1.15,1.25,1.06,1.03,0.67,2.01,2.21,1.75,2.14,2.19,2.09,3.19,2.03,3.86,2.97
g_0,0.92,1.08,1.15,1.56,1.14,0.89,1.97,1.98,1.65,2.68,3.36,2.5,2.94,2.76,1.84,2.34
