,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.04,1.1,1.54,1.72,1.47,1.21,0.55,0.54,0.56,0.46,0.45,0.54,0.34,0.37,0.35,0.46
f_1,1.71,1.04,1.41,1.55,1.42,1.16,0.48,0.47,0.58,0.42,0.46,0.47,0.28,0.35,0.38,0.35
d_1,1.64,1.67,1.04,1.64,1.45,1.39,0.55,0.62,0.44,0.51,0.45,0.45,0.33,0.39,0.25,0.39
c_1,1.49,1.72,1.97,1.04,1.78,1.43,0.67,0.34,0.61,0.56,0.48,0.48,0.37,0.41,0.36,0.36
b_1,1.95,2.07,2.09,1.2,1.05,1.87,0.76,0.51,0.7,0.78,0.72,0.54,0.45,0.47,0.44,0.52
a_1,2.47,2.76,2.6,2.08,1.41,1.05,0.85,0.83,0.86,0.74,0.82,0.73,0.64,0.85,0.53,0.55
h_1,4.68,4.79,4.46,4.14,3.9,3.74,1.24,1.4,1.71,1.24,1.31,1.26,1.21,1.06,1.07,1.11
d_0,3.91,4.88,6.22,5.66,5.54,3.96,1.99,1.33,2.0,1.45,1.44,1.52,1.21,1.35,1.23,1.37
g_1,5.53,5.4,5.13,5.44,4.87,4.17,1.64,1.64,1.24,1.51,1.51,1.56,0.99,1.28,1.19,1.21
c_0,5.55,5.86,3.62,7.07,4.85,5.04,2.08,2.3,1.72,1.32,1.91,1.73,1.33,1.36,1.23,1.56
b_0,5.34,5.41,5.07,6.68,6.25,4.98,2.19,1.79,2.04,1.14,1.32,1.64,1.27,1.45,1.29,1.33
f_0,5.68,6.73,6.07,5.79,5.24,4.58,2.09,1.74,1.53,1.55,1.65,1.32,1.2,1.35,0.92,1.69
h_0,7.51,7.34,7.07,7.35,6.38,5.34,2.96,2.17,2.74,1.93,2.02,2.11,1.82,1.61,1.65,1.78
a_0,8.77,8.62,7.42,7.91,9.12,7.18,2.99,2.32,2.98,2.09,1.61,2.54,2.01,1.47,1.69,2.07
g_0,7.96,8.09,8.64,8.41,8.41,6.62,2.39,2.48,3.34,2.25,2.16,2.42,1.57,2.03,1.76,2.33
e_0,9.45,9.51,8.46,8.45,7.2,6.63,3.07,2.47,2.64,2.17,2.25,1.5,1.87,1.92,1.42,1.45
