,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,107.42,101.4,93.26,111.91,127.44,438.09,8799.12,25861.96,24307.19,28068.53,35819.51,43254.42,118215.73,151444.46,108198.73,261394.58
e_1,67.63,107.42,83.1,139.45,150.03,485.66,10038.37,40420.8,25524.98,28151.64,45989.83,46672.42,131377.59,164007.77,133711.35,258598.97
d_1,72.85,71.09,135.93,81.02,117.23,487.63,9260.38,20516.73,19863.27,41718.15,42948.49,46197.21,123656.95,146563.88,131156.03,227450.26
c_1,61.26,52.57,91.53,148.92,191.88,487.81,7864.6,20424.98,20783.59,19734.38,39971.1,31130.94,110772.18,133307.71,124385.02,233561.73
b_1,61.26,53.33,77.93,71.43,188.97,708.59,7505.52,18543.74,18831.47,21962.16,36324.51,28009.92,90605.0,129034.16,111666.75,215964.38
a_1,43.05,41.08,53.41,56.32,60.66,535.51,5614.81,14390.6,13618.37,17040.27,24326.24,28721.91,69682.52,88731.46,69301.79,133808.81
h_1,21.31,18.22,26.01,27.47,35.41,115.57,3129.61,6047.6,7320.85,7281.74,11281.78,10877.56,30403.23,36199.51,34025.19,80024.25
d_0,13.64,10.92,17.08,30.77,31.41,87.3,1877.3,5793.34,4563.4,4494.87,7528.98,8591.23,24019.76,31380.76,26873.85,51039.34
g_1,12.85,12.62,24.75,19.28,24.69,86.48,1686.58,4420.72,6502.51,5518.5,10334.13,8511.71,25042.75,28791.51,29097.85,48451.62
c_0,14.78,13.15,17.08,17.38,22.92,82.91,1957.53,4525.61,4716.85,6625.67,8442.74,12145.92,30033.44,31396.38,27093.63,51051.8
f_0,10.13,10.51,16.39,18.84,24.1,84.03,1665.36,4306.38,3907.73,4749.29,8916.92,7942.34,24184.01,25149.16,38290.79,38157.65
b_0,11.73,11.82,15.94,18.12,22.55,57.85,1654.84,3989.26,3758.98,4448.71,7169.07,9230.25,35928.52,27235.9,22806.07,41529.59
a_0,8.74,8.02,11.26,12.01,16.77,47.95,1212.53,2993.21,2638.54,3524.69,5020.21,4622.64,19924.21,20563.22,17664.19,32309.99
h_0,9.94,7.97,11.47,12.72,15.14,53.23,983.31,2605.71,3004.45,3177.37,4560.19,5029.62,13099.36,15621.11,15457.81,34328.91
e_0,8.32,5.74,10.83,14.02,17.65,58.52,1086.69,2647.98,2822.8,3193.93,4515.51,5154.1,14988.59,19519.62,21210.69,28212.13
g_0,6.52,6.36,11.93,10.32,12.05,47.74,908.08,2268.15,1886.18,2840.81,6251.67,4496.98,12734.18,14088.42,16206.25,23213.42
