,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.94,0.45,0.56,0.34,0.38,0.26,0.24,0.25,0.26,0.24,0.26,0.13,0.18,0.21,0.14,0.19
c_1,0.43,0.94,0.37,0.66,0.42,0.26,0.23,0.26,0.12,0.23,0.14,0.18,0.15,0.22,0.15,0.2
e_1,0.46,0.55,0.94,0.4,0.31,0.26,0.33,0.46,0.26,0.22,0.25,0.22,0.18,0.24,0.09,0.22
b_1,0.51,0.37,0.42,0.94,0.41,0.47,0.29,0.25,0.27,0.26,0.16,0.23,0.16,0.21,0.2,0.19
d_1,0.48,0.31,0.49,0.4,0.94,0.31,0.26,0.22,0.45,0.22,0.28,0.29,0.24,0.26,0.19,0.19
a_1,0.57,0.51,0.47,0.38,0.53,0.94,0.35,0.28,0.27,0.26,0.3,0.27,0.17,0.23,0.21,0.24
h_1,0.91,0.81,0.6,0.57,0.66,0.4,0.75,0.43,0.4,0.5,0.37,0.33,0.3,0.29,0.23,0.37
d_0,0.79,1.16,0.57,0.7,0.45,0.45,0.43,0.66,0.33,0.36,0.29,0.34,0.29,0.38,0.32,0.31
c_0,0.85,0.63,0.71,0.55,0.64,0.49,0.49,0.52,0.67,0.4,0.66,0.41,0.41,0.43,0.32,0.35
g_1,0.67,0.72,0.66,0.54,1.03,0.41,0.34,0.42,0.46,0.75,0.37,0.48,0.33,0.37,0.28,0.27
b_0,0.81,0.94,0.71,0.5,0.72,0.44,0.44,0.62,0.42,0.4,0.64,0.37,0.6,0.43,0.31,0.42
f_0,0.79,0.96,0.69,0.67,0.68,0.59,0.54,0.58,0.51,0.37,0.47,0.64,0.34,0.44,0.53,0.32
a_0,1.06,0.9,0.85,0.77,0.67,0.37,0.54,0.58,0.45,0.43,0.37,0.46,0.64,0.54,0.35,0.35
h_0,1.16,0.86,0.7,0.76,0.71,0.57,0.33,0.61,0.48,0.55,0.48,0.37,0.35,0.34,0.37,0.4
e_0,1.1,0.76,0.67,0.77,0.85,0.52,0.63,0.51,0.51,0.47,0.43,0.41,0.38,0.43,0.61,0.45
g_0,0.78,0.83,0.73,0.75,1.15,0.59,0.56,0.57,0.5,0.31,0.39,0.64,0.37,0.48,0.42,0.31
