,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.66,0.74,0.99,0.72,0.67,0.15,0.25,0.16,0.14,0.16,0.36,0.1,0.14,0.15,0.13
e_1,0.41,0.17,0.91,0.82,1.03,0.83,0.21,0.27,0.16,0.18,0.17,0.21,0.13,0.22,0.46,0.1
d_1,0.87,0.97,0.16,0.96,0.7,0.62,0.22,0.14,0.46,0.13,0.15,0.13,0.09,0.13,0.14,0.06
c_1,0.79,0.59,1.09,0.15,0.85,0.68,0.23,0.21,0.09,0.35,0.15,0.16,0.1,0.17,0.12,0.12
b_1,1.0,0.89,0.8,0.37,0.13,0.93,0.25,0.27,0.19,0.24,0.35,0.16,0.12,0.15,0.13,0.15
a_1,0.98,0.85,0.68,0.77,0.39,0.09,0.33,0.28,0.19,0.21,0.27,0.16,0.12,0.46,0.18,0.15
h_1,0.57,0.64,0.61,0.61,0.61,0.63,0.06,0.19,0.14,0.13,0.12,0.13,0.15,0.12,0.1,0.1
g_1,0.66,0.68,0.62,0.71,0.56,0.59,0.14,0.05,0.13,0.11,0.12,0.15,0.07,0.11,0.13,0.09
d_0,0.58,0.35,1.14,0.61,0.78,0.64,0.18,0.23,0.07,0.15,0.12,0.13,0.1,0.14,0.13,0.11
c_0,0.71,0.79,0.28,1.66,0.66,0.58,0.26,0.16,0.19,0.06,0.12,0.11,0.09,0.14,0.13,0.09
b_0,0.6,0.53,0.51,1.04,1.31,0.59,0.19,0.16,0.14,0.06,0.05,0.13,0.09,0.11,0.12,0.08
f_0,1.31,0.56,0.5,0.62,0.6,0.85,0.19,0.1,0.14,0.12,0.12,0.05,0.07,0.09,0.13,0.06
h_0,0.68,0.61,0.54,0.62,0.57,0.58,0.23,0.15,0.14,0.1,0.11,0.12,0.17,0.11,0.1,0.09
a_0,0.71,0.58,0.57,0.93,0.53,0.96,0.16,0.18,0.17,0.13,0.06,0.11,0.08,0.04,0.09,0.07
e_0,1.32,0.89,0.51,0.61,0.49,0.77,0.17,0.12,0.13,0.1,0.12,0.05,0.07,0.11,0.04,0.08
g_0,0.56,0.66,0.56,0.63,0.62,0.69,0.12,0.26,0.13,0.11,0.12,0.12,0.06,0.11,0.11,0.2
