,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.49,0.79,0.62,0.74,0.71,0.39,0.35,0.28,0.29,0.38,0.39,0.28,0.29,0.43,0.34
f_1,0.72,0.42,0.68,0.64,0.65,0.56,0.27,0.35,0.28,0.28,0.36,0.32,0.21,0.3,0.27,0.28
c_1,0.53,0.68,0.39,0.89,0.76,0.61,0.35,0.2,0.36,0.28,0.35,0.29,0.25,0.27,0.32,0.24
d_1,0.81,0.67,0.6,0.38,0.64,0.67,0.35,0.41,0.33,0.33,0.27,0.29,0.24,0.29,0.26,0.18
b_1,0.64,0.7,0.44,0.73,0.36,0.9,0.39,0.32,0.35,0.47,0.38,0.35,0.28,0.33,0.3,0.24
a_1,0.68,0.85,0.69,0.66,0.38,0.3,0.39,0.34,0.36,0.44,0.37,0.31,0.3,0.45,0.34,0.3
h_1,0.6,0.74,0.61,0.6,0.6,0.53,0.24,0.28,0.28,0.28,0.34,0.29,0.26,0.26,0.27,0.25
d_0,0.44,0.61,0.78,0.8,0.62,0.61,0.4,0.24,0.27,0.29,0.42,0.29,0.27,0.26,0.32,0.29
c_0,0.72,0.7,0.87,0.4,0.64,0.5,0.34,0.38,0.23,0.31,0.34,0.3,0.25,0.28,0.26,0.22
b_0,0.61,0.68,0.92,0.52,0.73,0.51,0.33,0.3,0.19,0.21,0.33,0.26,0.24,0.33,0.27,0.27
g_1,0.64,0.69,0.69,0.63,0.67,0.57,0.28,0.28,0.25,0.27,0.19,0.27,0.18,0.25,0.23,0.26
f_0,0.55,0.86,0.72,0.59,0.62,0.56,0.32,0.3,0.26,0.28,0.26,0.19,0.24,0.26,0.32,0.16
h_0,0.62,0.72,0.62,0.59,0.59,0.47,0.42,0.29,0.26,0.29,0.36,0.27,0.27,0.3,0.24,0.24
a_0,0.6,0.62,0.75,0.58,0.69,0.62,0.38,0.34,0.25,0.16,0.32,0.3,0.24,0.19,0.27,0.25
e_0,0.67,0.73,0.61,0.62,0.58,0.58,0.33,0.29,0.31,0.3,0.35,0.16,0.27,0.29,0.19,0.23
g_0,0.6,0.64,0.66,0.66,0.68,0.54,0.29,0.26,0.27,0.25,0.35,0.3,0.19,0.27,0.25,0.26
