,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.91,0.39,0.24,0.37,0.24,0.16,0.28,0.53,0.23,0.23,0.27,0.24,0.25,0.17,0.13,0.24
f_1,0.55,0.91,0.26,0.3,0.22,0.18,0.23,0.3,0.21,0.24,0.25,0.15,0.28,0.15,0.12,0.2
d_1,0.3,0.35,0.91,0.24,0.28,0.2,0.29,0.18,0.26,0.49,0.3,0.26,0.33,0.2,0.2,0.24
c_1,0.3,0.29,0.32,0.9,0.46,0.16,0.27,0.28,0.22,0.15,0.21,0.24,0.31,0.17,0.19,0.21
b_1,0.3,0.3,0.32,0.33,0.9,0.35,0.26,0.27,0.2,0.25,0.17,0.21,0.26,0.13,0.17,0.25
a_1,0.31,0.35,0.37,0.29,0.26,0.89,0.32,0.33,0.23,0.26,0.3,0.26,0.31,0.12,0.16,0.25
h_1,0.37,0.53,0.36,0.3,0.23,0.19,0.62,0.32,0.3,0.25,0.3,0.24,0.27,0.22,0.16,0.32
d_0,0.39,0.39,0.22,0.59,0.27,0.18,0.33,0.5,0.23,0.2,0.27,0.26,0.3,0.15,0.17,0.25
g_1,0.32,0.33,0.51,0.32,0.3,0.18,0.32,0.3,0.6,0.26,0.25,0.41,0.32,0.22,0.2,0.21
c_0,0.37,0.44,0.39,0.23,0.22,0.19,0.35,0.32,0.24,0.52,0.53,0.3,0.32,0.24,0.24,0.28
b_0,0.38,0.45,0.34,0.37,0.18,0.17,0.33,0.34,0.27,0.27,0.47,0.27,0.36,0.42,0.2,0.27
f_0,0.32,0.32,0.42,0.32,0.28,0.19,0.39,0.33,0.26,0.28,0.34,0.51,0.32,0.24,0.41,0.3
h_0,0.31,0.48,0.38,0.32,0.29,0.19,0.25,0.3,0.34,0.3,0.33,0.29,0.25,0.2,0.21,0.34
a_0,0.34,0.41,0.38,0.33,0.25,0.17,0.37,0.32,0.34,0.32,0.32,0.27,0.38,0.45,0.23,0.29
e_0,0.25,0.44,0.37,0.38,0.31,0.2,0.4,0.33,0.25,0.28,0.32,0.3,0.42,0.22,0.43,0.31
g_0,0.31,0.28,0.51,0.37,0.28,0.21,0.35,0.28,0.19,0.27,0.34,0.43,0.34,0.18,0.23,0.25
