,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.63,1.31,1.23,1.66,3.69,18.34,36.6,30.85,38.2,52.25,38.13,54.44,93.94,121.95,126.83
e_1,0.61,1.0,1.24,1.23,1.98,3.39,21.22,26.47,41.75,42.68,46.19,56.65,58.23,78.64,121.43,152.88
c_1,0.77,0.81,1.0,1.13,2.2,2.99,21.33,23.63,17.29,29.55,39.38,41.88,46.98,59.52,96.35,103.0
d_1,0.81,0.82,0.89,1.0,1.37,3.23,15.45,16.4,21.56,38.81,34.92,37.37,42.21,66.3,73.79,89.05
b_1,0.6,0.5,0.45,0.73,1.0,3.48,12.86,18.9,17.89,25.59,31.52,26.7,36.98,42.8,70.53,64.01
a_1,0.27,0.29,0.33,0.31,0.29,1.0,5.74,7.78,8.7,11.5,10.53,14.22,20.05,26.08,26.78,30.35
h_1,0.06,0.05,0.05,0.07,0.08,0.17,1.0,1.57,1.32,1.98,2.39,2.3,3.52,3.6,5.77,7.5
g_1,0.03,0.04,0.04,0.06,0.05,0.12,0.64,1.0,0.94,1.21,1.63,2.0,1.67,2.95,3.51,5.12
d_0,0.03,0.02,0.06,0.05,0.06,0.11,0.81,1.12,1.0,1.24,1.85,1.88,2.41,3.32,4.22,4.86
c_0,0.03,0.02,0.04,0.03,0.04,0.09,0.5,0.87,0.83,1.0,2.04,1.26,1.56,2.67,3.9,3.82
b_0,0.02,0.02,0.03,0.03,0.03,0.1,0.43,0.59,0.54,0.44,1.0,0.99,1.17,2.15,1.89,2.57
f_0,0.03,0.02,0.03,0.03,0.03,0.07,0.42,0.49,0.6,0.79,1.03,1.0,1.47,1.78,1.99,3.63
h_0,0.02,0.02,0.02,0.02,0.03,0.05,0.28,0.62,0.42,0.65,0.84,0.68,1.0,1.53,2.03,1.93
a_0,0.01,0.01,0.02,0.01,0.02,,0.27,0.35,0.29,0.37,0.46,0.58,0.66,1.0,1.28,1.87
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.17,0.3,0.22,0.24,0.5,0.53,0.52,0.73,1.0,1.07
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.2,0.21,0.28,0.38,0.28,0.49,0.51,0.92,1.0
