,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.31,0.74,0.41,0.68,0.46,0.41,1.07,2.14,0.9,1.02,1.24,1.08,1.26,1.04,0.66,1.42
f_1,1.02,2.31,0.51,0.57,0.45,0.43,0.82,1.22,0.89,1.1,1.09,0.48,1.35,0.79,0.71,1.09
d_1,0.53,0.66,2.42,0.41,0.6,0.44,1.06,0.6,0.98,2.24,1.33,1.18,1.75,0.98,1.12,1.3
c_1,0.52,0.51,0.62,2.42,0.87,0.38,1.01,1.14,0.91,0.54,0.89,1.27,1.64,0.92,1.0,1.15
b_1,0.54,0.51,0.65,0.58,2.59,0.81,0.94,1.11,0.84,1.03,0.54,1.03,1.26,0.74,0.94,1.4
a_1,0.55,0.59,0.68,0.58,0.52,3.07,1.08,1.39,1.03,1.05,1.32,1.13,1.55,0.51,0.81,1.34
h_1,0.72,1.09,0.72,0.57,0.47,0.47,3.11,1.34,1.41,1.13,1.51,1.34,1.23,1.33,0.98,2.07
d_0,0.78,0.76,0.37,1.32,0.52,0.51,1.3,2.59,1.06,0.97,1.39,1.33,1.66,0.84,1.11,1.7
g_1,0.6,0.61,1.02,0.63,0.71,0.46,1.3,1.43,3.37,1.2,1.26,2.19,1.78,1.21,1.07,0.99
c_0,0.75,0.81,0.82,0.44,0.49,0.45,1.42,1.44,1.07,2.92,2.63,1.55,1.81,1.38,1.31,1.72
b_0,0.74,0.88,0.76,0.79,0.32,0.45,1.3,1.57,1.2,1.26,2.71,1.41,2.03,2.58,1.27,1.79
f_0,0.65,0.48,0.89,0.7,0.71,0.47,1.71,1.38,1.21,1.29,1.79,2.99,1.71,1.38,2.53,1.91
h_0,0.55,0.97,0.7,0.66,0.7,0.54,0.85,1.4,1.46,1.49,1.6,1.51,1.22,1.15,1.2,2.04
a_0,0.68,0.81,0.85,0.72,0.48,0.42,1.55,1.45,1.39,1.5,1.51,1.3,2.18,3.21,1.53,1.63
e_0,0.4,0.85,0.71,0.8,0.61,0.56,1.83,1.57,1.17,1.44,1.67,1.37,2.32,1.3,3.13,1.96
g_0,0.58,0.52,1.07,0.79,0.61,0.51,1.45,1.23,0.54,1.32,1.68,2.31,1.71,1.01,1.33,1.37
