,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.04,1.41,1.58,1.51,1.4,1.15,0.47,0.53,0.44,0.47,0.44,0.44,0.31,0.38,0.32,0.35
d_1,1.77,1.04,1.66,1.43,1.35,1.25,0.59,0.41,0.49,0.58,0.42,0.44,0.33,0.42,0.28,0.37
e_1,1.19,1.61,1.04,1.8,1.53,1.32,0.6,0.66,0.51,0.55,0.44,0.52,0.38,0.4,0.38,0.46
c_1,1.65,2.09,1.42,1.04,1.95,1.53,0.66,0.63,0.54,0.33,0.4,0.45,0.36,0.39,0.39,0.44
b_1,1.95,1.88,1.91,1.19,1.05,1.88,0.74,0.65,0.63,0.5,0.67,0.54,0.42,0.48,0.39,0.45
a_1,2.53,2.37,2.35,2.11,1.35,1.06,0.92,0.87,0.71,0.66,0.91,0.61,0.53,0.74,0.5,0.56
h_1,4.73,3.91,4.13,4.27,3.88,3.21,1.22,1.47,1.24,1.28,1.06,1.05,1.02,0.96,0.95,0.94
g_1,5.47,5.18,4.39,5.13,4.65,3.86,1.72,1.26,1.48,1.34,1.42,1.5,1.03,1.18,1.15,1.3
c_0,5.79,3.85,5.24,7.14,4.95,4.51,2.07,1.75,1.31,1.96,1.76,1.59,1.16,1.51,1.05,1.46
d_0,4.94,6.1,3.93,6.98,5.95,5.09,2.3,2.29,1.47,1.39,1.49,1.58,1.24,1.35,1.22,1.6
b_0,6.21,5.28,5.98,8.27,6.38,4.54,2.51,1.97,1.19,1.83,1.36,1.61,1.36,1.94,1.3,1.52
f_0,6.95,5.98,5.57,6.69,5.47,5.56,2.56,1.69,1.72,1.87,1.58,1.36,1.35,1.39,1.06,1.87
h_0,7.54,7.38,6.59,7.74,7.14,5.86,3.35,2.54,2.09,2.11,2.03,2.05,1.8,1.62,1.78,1.75
a_0,8.39,7.18,7.95,8.63,9.24,7.56,2.94,2.86,1.87,2.38,1.43,2.28,1.71,1.45,1.58,2.32
g_0,8.59,7.74,8.06,7.55,8.46,6.94,2.71,3.1,2.32,2.48,2.09,2.32,1.36,2.08,1.83,1.96
e_0,10.18,8.42,9.69,7.71,7.04,7.27,3.2,2.54,2.26,2.13,2.29,1.44,1.83,1.97,1.55,1.47
