,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.64,0.71,0.37,0.32,0.33,0.36,0.76,0.61,0.82,0.79,0.85,0.23,0.93,0.9,0.75,0.85
e_1,0.4,3.77,0.3,0.42,0.45,0.37,0.62,0.58,1.63,0.85,0.88,1.0,0.87,0.82,0.28,0.86
d_1,0.37,0.35,4.23,0.38,0.41,0.37,0.88,0.77,0.19,1.28,0.86,0.82,1.02,0.91,0.78,0.96
c_1,0.4,0.33,0.42,4.55,0.72,0.27,0.83,0.74,0.72,0.09,0.69,0.87,0.98,0.84,0.83,0.78
b_1,0.37,0.42,0.38,0.44,4.96,0.87,0.66,0.72,0.64,0.74,0.17,0.76,0.75,0.46,0.75,0.79
a_1,0.35,0.44,0.48,0.4,0.36,7.15,0.73,0.46,0.79,1.03,0.7,0.62,0.91,0.12,0.94,1.01
h_1,1.13,0.47,0.79,0.53,0.71,0.55,4.82,1.84,0.95,1.36,1.45,1.07,0.52,1.22,1.38,2.1
g_1,0.64,0.65,1.24,0.68,0.36,0.64,1.27,6.12,1.0,1.3,1.12,2.34,1.34,1.31,1.85,0.63
d_0,0.73,0.73,0.28,1.42,0.68,0.51,1.14,1.16,3.72,1.21,1.76,1.42,1.36,1.33,1.22,1.43
c_0,0.79,0.69,0.66,0.38,0.63,0.67,1.5,1.42,1.8,3.98,3.14,1.85,1.51,1.54,1.81,1.67
b_0,0.99,0.69,0.72,0.69,0.14,0.62,1.45,1.38,1.35,1.61,4.31,1.6,1.46,3.16,1.4,1.47
f_0,0.24,0.53,0.76,0.89,0.76,0.76,1.72,1.69,1.82,1.71,1.65,4.91,1.76,1.8,3.7,1.62
h_0,1.04,0.52,0.82,0.8,0.49,0.6,0.64,1.96,1.27,1.19,1.46,1.45,0.55,1.5,1.55,1.74
a_0,0.96,0.71,0.7,0.82,0.59,,1.18,1.88,1.22,1.25,1.55,1.4,1.63,6.22,1.01,1.12
e_0,0.85,0.29,0.65,0.78,0.59,0.69,1.46,1.97,1.71,1.83,1.81,2.02,1.86,1.33,6.64,1.74
g_0,0.63,0.52,1.22,0.73,0.68,0.53,0.93,1.05,1.1,1.44,1.26,2.21,1.65,1.14,1.32,0.46
