,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.0,1.19,0.81,0.88,0.66,0.45,0.36,0.42,0.55,0.47,,0.28,0.25,0.26,0.37
c_1,1.0,1.0,1.02,1.3,1.38,0.87,0.37,0.35,,0.49,0.37,0.33,0.33,0.32,0.31,0.34
e_1,0.84,0.98,1.0,1.08,0.87,0.74,0.52,0.56,0.48,0.46,0.45,0.33,0.27,0.35,,0.31
b_1,1.23,0.77,0.93,1.0,1.09,1.1,0.63,0.42,0.47,0.55,,0.39,0.38,0.33,0.34,0.28
d_1,1.14,0.73,1.15,0.92,1.0,0.69,0.45,,0.75,0.3,0.43,0.43,0.5,0.4,0.36,0.27
a_1,1.51,1.15,1.36,0.91,1.45,1.0,0.69,0.55,0.49,0.48,0.49,0.5,,0.49,0.47,0.42
h_1,2.24,2.73,1.94,1.58,2.21,1.45,1.0,0.92,0.92,1.06,0.93,0.65,0.76,,,0.69
d_0,2.74,2.84,1.77,2.41,,1.81,1.08,1.0,1.01,0.87,0.61,0.82,0.58,0.71,0.77,0.67
c_0,2.38,,2.1,2.12,1.34,2.05,1.09,0.99,1.0,1.02,1.1,1.09,0.81,0.9,0.76,0.73
g_1,1.83,2.03,2.19,1.82,3.32,2.07,0.95,1.15,0.98,1.0,0.92,1.06,0.78,0.86,,
b_0,2.15,2.69,2.2,,2.33,2.06,1.08,1.65,0.91,1.09,1.0,0.83,1.59,0.78,0.8,1.06
f_0,,3.02,3.04,2.58,2.33,2.01,1.54,1.22,0.92,0.94,1.2,1.0,,0.94,1.13,0.67
a_0,3.53,3.05,3.75,2.61,2.01,,1.31,1.73,1.23,1.28,0.63,,1.0,1.36,,0.86
h_0,4.01,3.09,2.84,3.0,2.52,2.03,,1.4,1.11,1.16,1.29,1.06,0.74,,0.85,1.03
e_0,3.79,3.27,,2.97,2.74,2.12,,1.31,1.31,,1.24,0.88,,1.18,1.0,0.94
g_0,2.74,2.93,3.25,3.62,3.73,2.36,1.44,1.49,1.37,,0.94,1.49,1.16,0.97,1.06,
