,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,6.07,1.34,1.13,1.5,1.44,1.11,4.46,4.16,11.44,6.91,6.8,6.93,9.25,3.15,9.36,6.6
f_1,2.46,6.24,1.26,1.08,1.21,0.89,5.11,3.81,5.0,6.02,2.39,6.5,9.62,5.08,6.97,6.4
d_1,1.21,1.62,6.43,0.98,1.17,1.17,5.11,4.81,3.01,11.73,6.33,8.27,8.39,6.82,11.79,7.49
c_1,0.95,1.29,1.13,6.43,2.22,1.4,4.38,4.32,6.67,1.63,6.52,4.44,9.03,6.53,8.28,6.2
b_1,1.21,1.35,1.42,1.29,7.11,2.4,3.87,4.48,6.17,5.31,4.51,2.12,10.21,5.91,7.23,4.59
a_1,1.2,1.32,1.37,1.29,1.25,10.42,5.47,5.24,5.91,6.61,7.52,6.44,7.88,5.66,10.06,4.02
h_1,1.59,2.02,1.73,1.63,1.37,1.5,16.29,6.88,6.32,7.96,6.44,7.44,5.86,6.22,15.43,7.32
g_1,1.25,1.06,2.52,1.9,1.5,1.23,5.86,18.93,6.24,7.13,12.28,8.54,11.84,8.37,6.5,7.37
d_0,1.48,1.56,0.58,3.42,1.51,1.61,5.76,6.45,15.7,6.0,8.14,5.74,11.29,6.65,9.83,7.55
c_0,1.72,1.61,1.95,1.04,1.24,1.24,6.75,6.74,7.55,16.08,9.7,15.84,12.7,8.41,11.48,10.75
f_0,1.24,0.88,1.88,1.98,1.55,1.69,5.68,5.76,8.14,7.76,18.03,7.79,9.61,19.15,11.65,8.62
b_0,1.68,1.54,1.73,1.76,0.81,1.68,5.92,6.23,7.34,8.17,8.76,18.29,13.39,8.39,13.94,17.99
h_0,1.64,2.28,1.59,1.69,1.42,1.31,3.14,8.56,7.29,6.63,7.69,6.8,7.41,7.28,15.41,8.27
e_0,0.81,1.65,1.69,2.05,1.41,1.88,7.06,6.69,8.9,8.51,6.77,6.69,12.81,26.44,9.76,8.59
g_0,1.27,1.46,2.57,1.68,1.38,1.68,6.07,4.71,6.38,7.37,12.78,8.0,9.65,8.22,8.06,6.98
a_0,1.46,1.85,1.96,1.86,0.98,0.99,6.83,7.74,6.71,7.93,7.37,9.36,13.42,9.79,11.02,24.31
