,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,2.38,5.38,4.69,5.08,3.82,1.18,1.53,0.84,0.89,0.92,1.05,0.61,0.93,2.83,0.6
f_1,4.17,0.44,4.19,4.32,4.33,4.05,0.88,1.43,0.87,0.84,0.8,2.74,0.44,0.84,0.75,0.91
d_1,5.68,4.72,0.43,4.34,3.85,5.61,1.27,0.73,0.82,4.92,0.91,0.79,0.56,0.79,0.98,0.42
c_1,3.62,4.04,6.66,0.41,5.12,5.53,1.38,1.12,3.53,0.57,1.0,0.91,0.67,1.1,0.75,0.6
b_1,4.96,6.08,4.3,2.57,0.39,5.28,1.84,1.8,1.38,1.2,3.73,0.89,0.84,0.75,0.93,0.72
a_1,7.24,8.55,5.46,7.05,2.96,0.33,1.49,1.63,1.01,1.45,1.37,0.84,0.76,,1.29,1.08
h_1,5.26,4.66,5.27,6.12,4.58,4.03,0.36,1.56,1.06,1.0,0.94,0.92,1.83,1.1,0.82,0.93
g_1,4.89,8.52,4.43,6.33,6.48,4.66,1.03,0.33,1.19,1.37,1.0,0.87,0.66,1.18,1.26,1.45
c_0,5.86,8.42,2.71,19.43,6.15,4.8,1.49,1.66,0.43,1.35,1.02,1.11,0.77,1.33,1.21,0.81
d_0,3.06,5.66,15.05,5.29,6.93,6.3,1.73,1.81,1.26,0.42,1.13,1.26,1.15,0.97,0.83,0.81
b_0,4.88,5.41,5.77,8.02,18.84,5.42,1.61,1.79,0.56,1.0,0.42,0.82,0.85,1.06,0.99,0.68
f_0,5.52,21.65,6.02,5.86,5.01,7.69,2.22,1.21,1.22,1.16,1.03,0.44,1.11,0.97,1.19,0.5
h_0,7.44,8.33,5.47,8.22,6.29,5.83,7.98,1.98,1.57,1.61,1.62,1.25,2.92,1.49,1.65,1.26
a_0,6.08,6.63,5.73,6.65,15.12,,2.22,3.02,1.26,1.51,0.69,1.8,1.75,0.37,1.64,0.88
e_0,23.47,7.8,6.4,6.48,6.83,6.64,2.27,2.24,1.39,1.35,1.64,0.79,1.07,1.52,0.35,1.53
g_0,7.4,7.92,9.11,7.09,7.27,6.01,2.09,5.21,1.65,1.7,1.45,1.76,0.88,1.65,1.41,3.68
