,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,0.98,0.9,1.0,0.94,0.9,0.83,1.35,1.09,1.04,1.04,0.93,0.93,1.0,0.89
f_1,0.9,1.0,1.28,1.01,0.89,1.03,0.89,1.02,0.87,0.93,1.04,0.73,0.86,0.94,0.86,1.02
e_1,1.02,0.78,1.0,1.2,1.03,0.88,1.12,1.05,0.99,0.98,1.4,1.14,1.09,1.07,1.11,1.07
c_1,1.13,0.99,0.83,1.0,1.49,0.87,0.97,1.09,0.82,0.8,0.71,1.01,0.97,0.98,0.88,0.98
b_1,1.0,1.12,0.96,0.67,1.0,1.69,1.07,0.99,1.06,0.96,0.89,0.92,1.03,0.97,0.95,0.98
a_1,1.06,0.98,1.14,1.15,0.59,1.0,1.23,1.1,1.0,1.31,1.24,0.99,1.31,1.33,1.24,1.05
h_1,1.08,1.14,0.91,1.02,0.89,0.86,1.0,1.16,0.93,0.93,0.81,0.97,0.85,0.95,0.97,1.17
g_1,1.2,1.02,0.95,0.92,0.97,0.9,0.84,1.0,1.0,0.89,0.87,1.23,0.91,0.96,0.93,0.93
c_0,0.75,1.2,1.03,1.17,0.89,1.03,1.08,0.92,1.0,1.5,1.11,1.13,1.1,1.2,1.05,1.07
b_0,0.89,1.08,1.01,1.29,0.99,0.77,1.05,1.12,0.7,1.0,1.07,1.01,1.08,1.18,0.98,0.97
d_0,0.94,0.91,0.71,1.48,1.21,0.85,1.21,1.13,0.84,0.91,1.0,1.03,1.02,0.99,1.1,1.07
f_0,0.97,1.19,0.89,1.05,1.03,1.0,1.03,0.83,0.91,0.98,0.95,1.0,1.05,0.87,1.57,0.83
h_0,1.02,1.18,0.89,1.1,0.95,0.76,1.17,1.14,0.87,0.94,0.96,0.99,1.0,0.9,1.01,1.21
a_0,1.06,1.03,0.91,1.09,1.03,0.81,1.06,1.07,0.87,0.83,0.95,1.2,1.1,1.0,0.92,1.22
e_0,0.96,1.21,0.94,1.13,1.04,0.87,0.96,1.02,0.97,1.03,0.87,0.67,1.01,1.11,1.0,1.04
g_0,1.11,1.01,0.93,1.08,1.03,0.95,0.84,1.09,0.97,1.03,0.9,1.21,0.85,0.82,0.98,1.0
