,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.01,1.01,0.79,0.74,0.86,0.47,0.34,0.49,0.37,0.38,0.4,0.39,0.35,0.26,0.28
f_1,0.99,1.0,1.29,0.81,0.82,0.64,0.39,0.47,0.46,0.42,0.4,0.49,0.32,0.27,0.3,0.32
e_1,0.99,0.77,1.0,1.15,0.95,0.8,0.51,0.5,0.42,0.62,0.47,0.46,0.43,0.38,0.32,0.38
c_1,1.27,1.24,0.87,1.0,1.26,0.74,0.57,0.51,0.35,0.3,0.28,0.44,0.31,0.36,0.32,0.29
b_1,1.35,1.23,1.06,0.8,1.0,1.02,0.66,0.58,0.6,0.52,0.36,0.41,0.32,0.39,0.3,0.4
a_1,1.17,1.57,1.26,1.35,0.98,1.0,0.86,0.54,0.58,0.55,0.64,0.53,,0.49,0.51,0.55
h_1,2.12,2.55,1.94,1.74,1.48,1.13,1.0,1.0,0.92,0.78,0.83,0.66,0.63,0.74,0.71,0.69
g_1,2.93,2.2,2.04,1.99,1.69,1.87,1.0,1.0,0.83,0.91,1.06,0.94,0.75,0.72,0.91,0.72
c_0,1.86,2.17,2.43,3.04,1.82,1.7,1.13,1.19,1.0,1.21,1.43,0.8,0.93,0.81,0.86,0.83
d_0,2.62,2.33,1.56,3.52,1.97,1.77,1.24,1.15,0.83,1.0,0.98,0.85,1.05,0.87,0.77,0.69
b_0,2.59,2.77,2.03,3.29,3.02,1.31,1.18,0.99,0.67,1.06,1.0,0.8,1.04,0.81,0.8,0.65
f_0,2.61,2.12,2.26,2.31,2.45,1.89,1.56,1.04,1.26,1.09,1.15,1.0,0.89,0.97,1.39,0.74
a_0,2.53,2.89,2.37,3.59,2.78,,1.64,1.3,1.11,1.08,0.98,1.11,1.0,0.97,0.96,0.74
h_0,2.77,3.69,2.69,2.84,2.56,1.97,1.33,1.4,1.29,1.18,1.22,1.11,1.05,1.0,0.77,0.93
e_0,3.47,3.48,2.99,3.49,3.35,1.96,1.33,1.06,1.18,1.33,1.32,0.71,1.0,1.39,1.0,0.82
g_0,3.76,3.26,2.6,3.34,2.52,1.8,1.41,1.45,1.3,1.46,1.53,1.33,1.31,1.09,1.19,1.0
