,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.93,1.24,0.83,0.7,0.63,0.63,0.89,0.96,0.83,0.88,0.93,0.57,0.9,0.7,1.0,0.78
e_1,0.87,1.96,0.86,0.61,0.69,0.64,0.95,1.64,1.05,0.93,1.08,1.08,1.05,0.64,1.1,0.95
c_1,0.71,0.72,2.17,0.78,1.35,0.79,0.89,0.78,0.91,0.43,0.67,0.87,0.82,0.91,0.78,0.95
d_1,0.8,0.77,0.59,2.55,0.66,0.59,1.07,0.58,0.94,1.92,1.21,0.97,1.02,1.07,1.09,1.05
b_1,0.71,0.67,0.74,0.8,2.51,1.53,0.79,0.88,0.77,0.91,0.57,1.01,1.06,1.09,0.71,0.98
a_1,0.85,0.71,0.74,0.83,0.67,3.35,0.99,0.89,0.92,0.83,1.06,1.11,1.21,1.13,0.77,1.16
h_1,1.09,0.78,0.83,0.86,0.81,0.66,2.03,0.92,1.28,1.05,1.0,1.11,0.72,1.24,0.95,1.33
d_0,0.94,0.72,1.47,0.6,0.83,0.62,1.12,1.59,1.12,0.71,1.02,0.92,1.11,1.14,1.12,1.07
g_1,0.82,0.63,0.81,1.38,0.83,0.74,1.08,0.81,2.54,1.12,1.05,1.67,1.01,1.22,1.01,0.91
c_0,0.98,0.85,0.69,0.93,0.55,0.72,1.11,0.98,1.13,1.83,2.17,1.19,1.07,1.08,1.43,1.03
b_0,1.04,0.87,0.86,0.95,0.61,0.58,1.16,1.11,1.13,1.05,2.0,1.11,1.09,1.17,2.26,1.16
f_0,0.68,0.63,0.99,0.94,0.86,0.87,1.09,1.1,1.15,0.99,1.19,2.13,1.17,2.35,0.85,1.25
h_0,1.07,0.77,0.93,0.85,0.89,0.7,0.82,0.91,1.29,1.04,1.09,0.97,0.78,1.16,0.92,1.43
e_0,0.96,0.55,1.05,0.86,0.89,0.91,1.35,0.86,1.05,1.04,0.93,1.21,1.16,2.43,1.0,1.22
a_0,0.92,0.85,0.94,0.75,0.86,0.56,1.11,1.09,1.26,1.01,1.14,1.14,1.3,1.24,2.48,1.23
g_0,0.66,0.71,0.88,1.27,0.87,0.72,1.09,0.95,0.87,1.07,1.16,1.83,1.07,1.34,1.04,0.91
