,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.53,0.99,0.83,0.7,0.84,0.76,1.06,0.92,0.88,1.62,1.19,1.05,1.15,1.03,0.99,0.95
f_1,0.86,1.54,1.35,0.87,0.74,0.62,0.93,0.96,1.05,0.98,0.94,0.67,1.06,0.85,1.1,0.59
e_1,0.86,0.84,1.53,0.99,0.9,0.76,1.1,1.0,1.67,1.1,1.13,1.03,1.04,0.91,1.01,0.71
c_1,0.99,0.87,0.84,1.6,1.37,0.65,1.05,1.06,0.87,0.66,0.75,1.13,1.21,0.88,1.0,0.85
b_1,0.96,0.99,0.92,0.81,1.62,1.3,0.93,0.86,1.05,1.06,0.85,1.04,1.1,0.86,1.14,0.92
a_1,1.07,1.03,0.93,1.04,0.77,1.77,1.28,1.17,1.18,1.14,1.24,1.07,1.37,0.92,1.27,1.05
h_1,1.2,1.47,1.12,1.14,0.97,0.78,1.8,1.54,1.17,1.23,1.08,1.09,1.22,1.1,1.48,1.1
g_1,1.59,1.15,1.05,1.06,1.05,0.78,1.16,1.87,1.24,1.42,1.28,1.68,1.29,1.08,0.99,1.32
d_0,1.0,1.21,1.01,1.91,1.07,0.81,1.42,1.23,1.72,1.12,1.34,1.07,1.46,0.98,1.24,1.23
c_0,1.15,1.38,1.13,1.05,0.93,0.95,1.57,1.27,1.54,1.74,2.2,1.28,1.62,1.38,1.29,1.42
b_0,1.32,1.36,1.13,1.27,0.79,0.87,1.54,1.26,1.29,1.12,1.76,1.28,1.51,1.85,1.5,1.08
f_0,1.32,1.15,1.1,1.09,1.05,1.08,1.46,1.17,1.49,1.52,1.48,1.85,1.46,1.33,1.29,2.3
h_0,1.38,1.64,1.28,1.09,1.03,0.88,1.05,1.58,1.33,1.29,1.48,1.38,1.4,1.24,1.74,1.05
a_0,1.3,1.47,1.24,1.28,1.15,0.64,1.55,1.41,1.68,1.5,1.42,1.26,1.71,1.85,1.48,1.14
g_0,1.71,1.2,1.19,1.21,1.1,0.95,1.26,1.22,1.34,1.54,1.52,1.95,1.46,1.35,1.34,1.39
e_0,1.4,1.59,1.17,1.19,1.24,0.98,1.52,1.35,1.33,1.29,1.68,1.18,1.81,1.36,1.33,1.85
