,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.4,1.37,2.14,1.49,1.38,1.36,2.38,2.68,2.9,3.32,3.12,2.4,3.59,3.06,2.55,3.48
d_1,1.63,2.48,1.48,1.35,1.42,1.36,2.94,2.65,4.91,2.43,4.07,3.24,3.84,3.34,3.44,3.55
e_1,1.39,1.3,2.5,1.77,1.54,1.47,3.11,2.95,3.11,5.08,3.31,3.5,4.17,3.46,2.97,4.62
c_1,1.4,1.48,1.3,2.66,2.37,1.51,2.5,2.7,2.28,2.77,2.72,3.4,3.89,3.22,3.16,4.35
b_1,1.52,1.64,1.34,1.33,2.81,2.55,3.06,2.64,3.12,3.22,2.4,3.39,3.94,2.96,3.3,4.01
a_1,1.65,1.69,1.47,1.6,1.24,3.3,2.89,3.29,2.96,2.95,3.88,3.4,4.71,2.48,3.63,3.91
h_1,1.99,1.64,1.32,1.66,1.41,1.3,4.26,3.77,2.94,2.92,2.81,3.39,3.71,3.06,3.36,4.94
g_1,1.43,2.15,1.44,1.65,1.57,1.35,2.86,4.55,3.23,2.75,3.09,4.51,3.76,4.05,3.71,3.86
c_0,1.75,1.44,1.6,1.48,1.34,1.67,3.43,3.1,4.3,3.47,5.52,3.33,4.52,4.29,3.78,4.61
d_0,1.62,1.2,1.29,2.59,1.69,1.47,3.02,3.14,2.1,4.36,2.98,3.62,3.9,3.6,3.65,4.22
b_0,1.67,1.48,1.64,1.73,1.49,1.39,3.35,3.42,2.99,3.68,4.52,3.37,4.26,6.18,3.75,4.39
f_0,1.49,1.67,1.35,1.79,1.48,1.51,3.32,2.83,3.42,3.02,3.6,4.91,4.93,3.83,5.96,4.2
h_0,1.92,1.59,1.59,1.59,1.59,1.45,2.55,3.7,2.97,3.18,3.49,3.15,3.57,3.44,3.42,5.41
a_0,1.71,1.55,1.57,1.61,1.57,1.3,3.47,3.0,3.38,3.22,2.91,3.64,4.69,5.07,3.68,4.57
e_0,1.75,1.64,1.14,1.76,1.6,1.5,3.31,2.89,3.36,3.13,3.39,3.0,4.18,3.23,5.42,4.36
g_0,1.67,2.18,1.22,1.34,1.57,1.5,2.93,2.68,3.39,2.47,3.46,4.56,3.76,3.78,3.9,3.78
