,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.67,1.32,1.97,2.3,2.04,2.2,0.98,0.96,0.98,0.67,0.9,0.69,0.59,0.69,1.1,0.57
f_1,2.34,0.67,2.1,1.86,1.81,1.57,0.82,0.93,0.71,0.73,1.28,0.8,0.46,0.71,0.57,0.7
d_1,2.55,2.11,0.65,1.92,2.63,2.06,0.86,0.67,1.75,0.88,0.69,0.77,0.65,0.59,0.81,0.37
c_1,2.16,2.27,2.91,0.64,2.51,1.64,0.89,1.22,0.48,1.59,0.69,0.75,0.59,0.82,0.9,0.57
b_1,2.19,2.53,2.07,1.46,0.62,2.65,1.11,1.29,0.76,0.91,1.04,1.72,0.8,0.85,0.73,0.74
a_1,2.63,3.51,2.48,3.25,1.61,0.56,1.37,1.15,1.07,0.93,1.26,0.94,0.74,1.62,0.71,1.05
h_1,2.36,2.87,2.94,2.86,2.29,2.12,0.6,1.26,0.94,0.97,0.81,0.99,1.66,0.79,0.77,0.78
g_1,2.54,3.12,2.81,3.12,2.47,3.22,1.05,0.57,1.07,0.92,1.24,0.98,0.7,0.94,1.13,1.33
d_0,1.59,3.46,4.27,3.59,3.01,2.89,1.36,1.52,0.68,1.2,0.97,0.98,0.91,1.07,0.95,1.03
c_0,3.36,3.63,1.74,6.18,2.68,2.51,1.4,1.38,1.06,0.66,0.98,1.48,1.03,1.37,0.94,1.07
f_0,2.61,5.57,2.89,3.23,2.67,2.68,1.49,0.83,1.12,1.15,0.63,1.13,0.88,1.13,1.07,0.91
b_0,3.2,3.15,2.85,3.74,4.56,2.67,1.42,1.2,1.27,0.67,0.9,0.62,1.01,1.3,1.2,0.9
h_0,3.06,4.04,2.92,3.25,3.23,3.35,2.51,1.79,1.17,1.18,1.24,0.97,1.61,1.0,1.09,1.08
a_0,3.17,4.57,4.09,2.9,3.55,5.57,1.9,1.37,1.25,1.05,1.1,0.77,1.1,0.61,1.07,0.89
e_0,5.49,4.29,3.34,3.07,3.78,4.3,1.56,1.2,1.47,1.54,0.71,1.18,1.19,1.06,0.6,0.95
g_0,4.27,3.29,4.16,3.52,3.39,2.72,1.39,2.82,1.3,1.21,1.13,1.32,0.95,1.43,1.12,1.97
