,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.02,0.83,0.67,0.65,0.73,0.68,1.09,1.67,1.01,0.64,1.2,1.06,1.06,1.12,1.05,1.1
f_1,0.68,2.1,1.3,0.68,0.59,0.67,0.93,0.75,0.83,0.97,0.89,0.53,0.92,0.88,0.85,0.72
e_1,0.69,0.81,2.11,0.96,0.78,0.68,0.92,0.84,0.83,1.68,1.02,1.06,1.05,0.99,0.95,0.68
c_1,0.82,0.68,0.68,2.47,1.33,0.64,0.71,0.57,0.83,0.92,0.61,0.84,0.95,0.78,0.87,1.09
b_1,0.81,0.72,0.67,0.6,2.62,1.51,0.93,0.95,0.91,0.82,0.73,1.11,0.93,0.83,0.99,0.91
a_1,0.81,0.86,0.73,0.88,0.7,3.47,0.99,0.9,1.02,0.89,1.05,0.99,0.99,0.59,1.1,0.87
h_1,0.88,1.05,0.8,0.95,0.63,0.66,2.01,1.0,1.46,0.95,0.96,1.06,0.8,1.05,1.26,1.08
c_0,0.92,0.93,0.84,0.62,0.67,0.84,1.16,1.64,1.21,1.05,2.08,1.03,1.14,1.52,1.21,1.2
g_1,1.24,0.75,0.68,0.83,0.71,0.67,1.0,1.03,2.33,0.75,0.98,1.49,1.06,1.09,0.83,1.33
d_0,0.62,0.82,0.79,1.47,0.95,0.81,0.98,0.77,0.91,1.6,1.02,0.97,1.02,0.88,0.96,0.9
b_0,0.89,0.92,0.9,0.95,0.56,0.65,1.08,1.04,1.11,0.98,1.85,1.2,1.12,2.22,1.16,1.33
f_0,1.01,0.69,0.64,0.95,0.88,0.8,1.12,1.13,1.32,0.95,1.07,2.06,1.13,1.3,1.17,2.3
h_0,0.94,1.14,0.83,0.85,0.82,0.69,0.87,0.94,1.23,0.99,1.04,1.02,0.87,1.12,1.41,1.09
a_0,0.96,0.91,0.85,0.89,0.76,0.47,1.33,1.07,1.12,0.94,1.06,1.08,1.22,2.36,1.31,1.29
g_0,1.34,0.74,0.66,0.84,0.74,0.68,1.01,1.1,1.0,0.79,1.0,1.75,1.06,1.03,1.02,1.2
e_0,0.91,0.99,0.64,0.89,0.73,0.85,1.2,1.09,1.29,1.05,1.15,1.01,1.2,1.01,1.02,2.28
