,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.17,0.42,0.85,0.81,0.87,0.8,0.27,0.26,0.17,0.15,0.17,0.19,0.12,0.14,0.16,0.39
f_1,0.69,0.17,0.7,0.82,0.77,0.73,0.17,0.23,0.16,0.18,0.16,0.34,0.07,0.12,0.15,0.15
d_1,0.84,0.9,0.15,0.72,0.74,0.85,0.2,0.14,0.5,0.13,0.15,0.13,0.12,0.06,0.14,0.15
c_1,0.62,0.81,1.05,0.15,0.75,0.66,0.23,0.2,0.09,0.3,0.13,0.15,0.12,0.12,0.13,0.13
b_1,0.76,0.98,0.74,0.43,0.14,0.69,0.22,0.31,0.16,0.27,0.35,0.16,0.12,0.12,0.19,0.16
a_1,0.87,0.84,0.85,0.82,0.41,0.09,0.27,0.28,0.19,0.15,0.17,0.15,0.11,0.12,0.26,0.14
h_1,0.56,0.62,0.57,0.68,0.72,0.57,0.06,0.16,0.14,0.12,0.11,0.14,0.15,0.09,0.12,0.1
g_1,0.63,0.66,0.56,0.63,0.76,0.54,0.14,0.05,0.13,0.12,0.13,0.12,0.07,0.17,0.15,0.14
d_0,0.35,0.59,1.15,0.69,0.6,0.65,0.22,0.24,0.07,0.13,0.13,0.14,0.1,0.11,0.12,0.13
c_0,0.75,0.63,0.32,1.24,0.57,0.84,0.2,0.16,0.19,0.06,0.18,0.12,0.1,0.1,0.1,0.11
b_0,0.59,0.57,0.52,0.9,1.07,0.62,0.16,0.21,0.12,0.06,0.05,0.13,0.09,0.09,0.1,0.12
f_0,0.59,1.43,0.54,0.71,0.56,0.62,0.13,0.1,0.12,0.1,0.16,0.05,0.11,0.06,0.14,0.11
h_0,0.6,0.72,0.53,0.58,0.54,0.51,0.27,0.18,0.12,0.15,0.12,0.1,0.14,0.09,0.1,0.12
g_0,0.7,0.68,0.59,0.59,0.57,0.62,0.12,0.26,0.14,0.1,0.11,0.1,0.06,0.14,0.13,0.1
a_0,0.72,0.73,0.57,0.55,0.71,1.12,0.16,0.15,0.13,0.11,0.06,0.09,0.08,0.11,0.04,0.11
e_0,0.85,0.81,0.57,0.64,0.6,0.53,0.16,0.16,0.13,0.12,0.12,0.06,0.1,0.09,0.14,0.04
